"id","R","S","T","U","V","W","G","H","I","J","K","L","A","B","C","D","E","F","don","label"
4,16,38.4,95.1,16.9,7.3,16.9,5,4.7,14.7,17.3,8.8,4.6,1.9,3.9,9,5.6,7.2,8.4,1508,"21198"
4,16,40.5,97.3,16.9,7.3,16.9,5,4.7,14.7,18.5,8.8,4.6,1.9,3.9,9,5.6,7.2,8.4,1788,"21195"
4,16,41.6,99.6,16.9,7.3,16.9,5,5.1,15.1,18.5,8.8,4.6,1.9,3.9,9,5.6,7.2,7.7,1943,"21200"
4,16,42.6,96.2,16.9,7.3,16.9,5.5,5.1,14.3,19.3,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7.7,2009,"21199"
5,13.1,37.3,81.3,15.9,6.2,15.7,5,4.7,13.5,17.3,8.2,4.6,1.9,2.9,7.2,4.7,6.4,6.3,307,"21227"
5,14.6,38.4,90.5,15.9,7.3,16.9,4.5,4.7,15.1,18.1,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7.7,1788,"21195"
5,14.6,39.4,90.5,16.9,7.3,15.7,5,4.7,14.3,17.7,8.2,4.6,1.9,3.9,9,5.6,7.2,7.7,483,"21196"
5,14.6,40.5,95.1,16.9,7.3,15.7,4.5,4.7,14.3,17.7,8.2,4.6,1.9,3.9,8.1,4.7,7.2,7,0,"sadio"
5,14.6,40.5,95.1,16.9,7.3,15.7,5,4.7,13.5,18.5,8.2,4.6,1.9,3.9,8.1,4.7,6.4,7,799,"21210"
5,14.6,40.5,96.2,17.9,7.3,16.9,5,4.7,14.3,18.9,8.8,4.6,1.9,3.9,8.1,4.7,6.4,7,0,"21202"
5,14.6,41.6,98.5,17.9,7.3,16.9,5,5.1,15.1,18.5,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7.7,0,"21201"
5,14.6,42.6,87,16.9,7.3,16.9,5.5,5.1,14.7,18.9,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7.7,2009,"21199"
5,14.6,42.6,96.2,16.9,7.3,16.9,5.5,5.1,14.3,19.3,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7.7,2113,"21197"
5,16,37.3,98.5,16.9,7.3,15.7,4.5,4.2,14.3,16.5,8.8,4.6,1.9,3.9,9,4.7,7.2,7.7,1508,"21198"
5,16,41.6,99.6,16.9,7.3,16.9,5,5.1,15.1,18.5,8.8,4.6,1.9,3.9,9,5.6,7.2,7.7,1943,"21200"
6,13.1,37.3,81.3,15.9,6.2,15.7,5,4.7,13.9,17.3,8.2,4.6,1.9,2.9,7.2,4.7,6.4,6.3,307,"21227"
6,14.6,39.4,90.5,16.9,7.3,15.7,5,4.7,14.3,18.1,8.2,4.6,1.9,3.9,9,5.6,7.2,7.7,483,"21196"
6,14.6,39.4,92.8,16.9,7.3,15.7,5,4.7,13.5,18.1,8.2,4.6,1.9,2.9,7.2,4.7,6.4,7,799,"21210"
6,14.6,39.4,95.1,16.9,7.3,16.9,5,4.7,15.1,18.1,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7.7,1508,"21198"
6,14.6,40.5,87,15.9,7.3,15.7,5,4.7,14.3,18.1,8.8,4.6,1.9,2.9,8.1,4.7,6.4,7,0,"21201"
6,14.6,40.5,89.3,15.9,7.3,15.7,4.5,4.7,14.7,18.1,8.8,4.6,1.9,3.9,9,5.6,7.9,7.7,1788,"21195"
6,14.6,40.5,89.3,16.9,7.3,15.7,5,4.7,14.7,18.1,8.2,4.6,1.9,3.9,8.1,4.7,7.2,7,0,"sadio"
6,14.6,40.5,91.6,16.9,7.3,16.9,5,4.7,13.5,18.5,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7,2009,"21199"
6,14.6,40.5,96.2,17.9,7.3,16.9,5,4.7,14.3,18.9,8.8,4.6,1.9,3.9,8.1,4.7,6.4,7,0,"21202"
6,14.6,42.6,85.9,15.9,7.3,16.9,5.5,5.1,14.3,18.9,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7.7,2113,"21197"
6,16,41.6,99.6,16.9,7.3,16.9,5,5.1,15.1,18.5,8.8,4.6,1.9,3.9,9,5.6,7.2,7.7,1943,"21200"
7,13.1,37.3,81.3,15.9,6.2,15.7,4.5,4.7,13.1,16.9,8.2,4.6,1.9,2.9,7.2,4.7,6.4,6.3,307,"21227"
7,13.1,38.4,83.6,15.9,7.3,15.7,5,4.7,13.1,17.7,8.2,4.6,1.9,2.9,7.2,4.7,6.4,6.3,799,"21210"
7,14.6,39.4,82.5,15.9,6.2,16.9,5,4.7,14.3,18.1,8.8,4.6,1.9,2.9,8.1,4.7,7.2,7,1508,"21198"
7,14.6,39.4,84.7,15.9,7.3,15.7,5,4.7,13.9,18.1,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7,2009,"21199"
7,14.6,39.4,87,15.9,7.3,15.7,5,4.7,13.9,18.1,8.2,4.6,1.9,3.9,9,5.6,7.2,7.7,483,"21196"
7,14.6,40.5,90.5,16.9,7.3,16.9,5,4.7,14.3,18.1,8.8,4.6,1.9,2.9,8.1,4.7,7.2,7,0,"21201"
7,14.6,40.5,96.2,17.9,7.3,16.9,5,4.7,14.3,18.9,8.8,4.6,1.9,3.9,8.1,4.7,6.4,7,0,"21202"
7,14.6,41.6,87,15.9,7.3,16.9,5.5,5.1,14.3,18.9,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7.7,2113,"21197"
7,14.6,41.6,96.2,16.9,7.3,15.7,5,4.7,14.3,18.1,8.2,4.6,1.9,3.9,8.1,4.7,7.2,7,0,"sadio"
7,16,39.4,91.6,15.9,7.3,15.7,4.5,4.7,15.5,17.3,8.8,4.6,1.9,3.9,9,5.6,7.2,7.7,1788,"21195"
7,16,41.6,99.6,16.9,7.3,16.9,5,5.1,15.1,18.5,8.8,4.6,1.9,3.9,9,5.6,7.2,7.7,1943,"21200"
8,13.1,36.2,79,15.9,6.2,15.7,4.5,4.2,12.7,16.9,8.2,4.6,1.9,2.9,7.2,4.7,5.6,6.3,307,"21227"
8,13.1,39.4,87,15.9,7.3,15.7,4.5,4.7,13.5,17.3,8.2,4.6,1.9,2.9,8.1,4.7,6.4,6.3,799,"21210"
8,14.6,39.4,85.9,15.9,6.2,15.7,5,4.7,13.5,17.3,8.2,4.6,1.9,3.9,8.1,4.7,7.2,7,483,"21196"
8,14.6,40.5,85.9,15.9,7.3,15.7,5,5.1,15.1,18.1,8.2,4.6,1.9,3.9,8.1,4.7,7.2,7.7,2009,"21199"
8,14.6,40.5,93.9,16.9,7.3,15.7,4.5,4.7,14.3,18.1,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7,0,"21201"
8,14.6,40.5,96.2,16.9,7.3,15.7,5,4.7,14.3,18.5,8.2,4.6,1.9,3.9,8.1,4.7,7.2,7.7,0,"sadio"
8,14.6,40.5,96.2,17.9,7.3,16.9,5,4.7,14.3,18.9,8.8,4.6,1.9,3.9,8.1,4.7,6.4,7,0,"21202"
8,14.6,41.6,93.9,16.9,7.3,16.9,5.5,5.1,13.9,18.9,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7.7,2113,"21197"
8,16,37.3,98.5,16.9,7.3,15.7,4.5,4.7,13.1,16.5,8.8,4.6,1.9,3.9,9,4.7,7.2,7.7,1508,"21198"
8,16,39.4,91.6,15.9,7.3,15.7,4.5,4.7,15.5,17.3,8.8,4.6,1.9,3.9,9,5.6,7.2,7.7,1788,"21195"
8,16,40.5,96.2,16.9,7.3,16.9,5,5.1,15.1,18.5,8.8,4.6,1.9,3.9,9,5.6,7.2,7.7,1943,"21200"
9,13.1,37.3,81.3,15.9,6.2,15.7,4.5,4.7,13.1,17.3,8.2,4.6,1.9,2.9,7.2,4.7,5.6,6.3,307,"21227"
9,14.6,37.3,80.2,15.9,7.3,15.7,5,4.7,12.3,18.1,8.2,4.6,1.9,3.9,8.1,5.6,6.4,7.7,1508,"21198"
9,14.6,38.4,85.9,15.9,6.2,15.7,4.5,4.7,13.5,18.1,8.2,4.6,1.9,2.9,7.2,4.7,6.4,7,799,"21210"
9,14.6,39.4,85.9,15.9,6.2,15.7,5,4.7,13.5,17.3,8.2,4.6,1.9,3.9,8.1,4.7,7.2,7,483,"21196"
9,14.6,39.4,96.2,16.9,7.3,15.7,4.5,4.7,14.3,18.5,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7,0,"21201"
9,14.6,39.4,98.5,16.9,7.3,15.7,4.5,4.7,13.9,17.7,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7,1788,"21195"
9,14.6,40.5,84.7,15.9,7.3,15.7,5,5.1,14.3,17.7,8.2,4.6,1.9,3.9,8.1,5.6,7.2,7.7,2009,"21199"
9,14.6,40.5,96.2,16.9,7.3,15.7,5,4.7,14.3,18.5,8.2,4.6,1.9,3.9,8.1,4.7,7.2,7.7,0,"sadio"
9,14.6,40.5,97.3,16.9,7.3,16.9,5,5.1,15.1,18.5,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7.7,1943,"21200"
9,14.6,40.5,98.5,17.9,7.3,16.9,4.5,4.7,14.7,18.9,8.8,4.6,1.9,3.9,8.1,4.7,6.4,7,0,"21202"
9,14.6,41.6,90.5,16.9,7.3,15.7,5.5,4.7,13.9,18.5,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7,2113,"21197"
10,13.1,37.3,81.3,15.9,6.2,15.7,4.5,4.7,13.1,17.3,8.2,4.6,1.9,2.9,7.2,4.7,5.6,6.3,307,"21227"
10,14.6,39.4,85.9,15.9,6.2,15.7,5,4.7,13.5,17.3,8.2,4.6,1.9,3.9,8.1,4.7,7.2,7,483,"21196"
10,14.6,39.4,85.9,15.9,7.3,16.9,5,5.1,15.5,19.3,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7,0,"21202"
10,14.6,39.4,87,15.9,7.3,15.7,4.5,4.7,13.9,17.7,8.2,4.6,1.9,2.9,7.2,4.7,6.4,7,799,"21210"
10,14.6,39.4,90.5,15.9,7.3,15.7,5,5.1,14.7,17.7,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7,1788,"21195"
10,14.6,39.4,95.1,16.9,7.3,15.7,4.5,4.7,13.9,17.3,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7.7,1508,"21198"
10,14.6,39.4,96.2,16.9,7.3,15.7,4.5,4.7,14.3,18.5,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7,0,"21201"
10,14.6,40.5,89.3,16.9,7.3,15.7,5,5.1,14.7,18.5,8.2,4.6,1.9,2.9,8.1,4.7,7.2,7.7,0,"sadio"
10,14.6,40.5,92.8,16.9,7.3,15.7,5.5,5.1,13.9,18.5,8.8,4.6,1.9,3.9,8.1,4.7,6.4,7,2113,"21197"
10,14.6,40.5,97.3,16.9,7.3,16.9,5,5.1,15.5,18.5,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7.7,1943,"21200"
10,14.6,41.6,88.2,16.9,7.3,15.7,5,5.1,14.3,17.7,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7,2009,"21199"
11,13.1,37.3,81.3,15.9,6.2,15.7,4.5,4.7,13.1,17.3,8.2,4.6,1.9,2.9,7.2,4.7,5.6,6.3,307,"21227"
11,14.6,37.3,87,15.9,6.2,15.7,4.5,4.7,13.5,17.3,8.2,4.6,1.9,2.9,8.1,4.7,6.4,7,483,"21196"
11,14.6,39.4,85.9,15.9,7.3,16.9,5,5.1,15.5,19.3,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7,0,"21202"
11,14.6,39.4,92.8,16.9,7.3,15.7,4.5,4.2,12.7,18.1,8.2,4.6,1.9,2.9,8.1,4.7,6.4,7,799,"21210"
11,14.6,39.4,96.2,16.9,7.3,15.7,4.5,4.7,14.3,18.5,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7.7,0,"21201"
11,14.6,39.4,97.3,16.9,6.2,15.7,4.5,4.2,13.9,16.1,8.2,4.6,1.9,3.9,8.1,4.7,6.4,7,1508,"21198"
11,14.6,40.5,87,15.9,7.3,15.7,5,5.1,14.3,18.5,8.2,4.6,1.9,3.9,8.1,5.6,7.2,7.7,0,"sadio"
11,14.6,40.5,91.6,16.9,7.3,15.7,5.5,5.1,13.9,18.5,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7,2113,"21197"
11,14.6,41.6,89.3,16.9,7.3,15.7,5,5.1,15.1,17.7,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7,1788,"21195"
11,14.6,41.6,92.8,16.9,7.3,15.7,5.5,5.1,14.3,18.9,8.2,4.6,1.9,3.9,8.1,5.6,7.2,7.7,2009,"21199"
