Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
1; 11; 42; 86; 18; 7; 15; 11; 12; 42; 52; 16; 5; 2; 4; 10; 6; 10; 12; 16.0; 44.8; 98.5; 17.9; 7.3; 18.1; 5.5; 5.6; 16.7; 20.9; 9.4; 4.6; 1.9; 3.9; 9.0; 5.6; 7.9; 8.4; 59; 1; 28; 29; 28; 20210712212908
2; 11; 42; 86; 18; 7; 15; 11; 12; 42; 52; 16; 5; 2; 4; 10; 6; 10; 12; 16.0; 44.8; 98.5; 17.9; 7.3; 18.1; 5.5; 5.6; 16.7; 20.9; 9.4; 4.6; 1.9; 3.9; 9.0; 5.6; 7.9; 8.4; 59; 1; 28; 29; 28; 20210712212913
3; 11; 42; 86; 18; 7; 15; 11; 12; 42; 52; 16; 5; 2; 4; 10; 6; 10; 12; 16.0; 44.8; 98.5; 17.9; 7.3; 18.1; 5.5; 5.6; 16.7; 20.9; 9.4; 4.6; 1.9; 3.9; 9.0; 5.6; 7.9; 8.4; 59; 1; 28; 29; 28; 20210712212913
4; 11; 42; 86; 18; 7; 15; 11; 12; 42; 52; 16; 5; 2; 4; 10; 6; 10; 11; 16.0; 44.8; 98.5; 17.9; 7.3; 18.1; 5.5; 5.6; 16.7; 20.9; 9.4; 4.6; 1.9; 3.9; 9.0; 5.6; 7.9; 8.4; 59; 1; 28; 30; 28; 20210712212913
5; 11; 41; 86; 18; 7; 15; 11; 12; 41; 52; 16; 5; 2; 4; 10; 6; 10; 11; 16.0; 43.7; 98.5; 17.9; 7.3; 18.1; 5.5; 5.6; 16.3; 20.9; 9.4; 4.6; 1.9; 3.9; 9.0; 5.6; 7.9; 7.7; 59; 1; 28; 29; 28; 20210712212914
6; 11; 41; 86; 18; 7; 15; 11; 12; 41; 52; 16; 5; 2; 4; 10; 6; 10; 11; 16.0; 43.7; 98.5; 17.9; 7.3; 18.1; 5.5; 5.6; 16.3; 20.9; 9.4; 4.6; 1.9; 3.9; 9.0; 5.6; 7.9; 7.7; 59; 1; 28; 29; 28; 20210712212914
7; 11; 41; 84; 17; 7; 14; 10; 11; 40; 50; 16; 5; 2; 4; 10; 6; 10; 11; 16.0; 43.7; 96.2; 16.9; 7.3; 16.9; 5.0; 5.1; 15.9; 20.1; 9.4; 4.6; 1.9; 3.9; 9.0; 5.6; 7.9; 7.7; 59; 1; 28; 29; 28; 20210712212915
8; 10; 39; 81; 17; 7; 14; 10; 11; 39; 49; 15; 5; 2; 4; 9; 6; 9; 11; 14.6; 43.7; 91.6; 16.9; 7.3; 16.9; 5.0; 5.1; 15.5; 19.7; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.7; 59; 1; 28; 29; 28; 20210712212915
9; 11; 39; 82; 17; 7; 14; 10; 11; 40; 51; 16; 5; 2; 4; 9; 6; 9; 11; 16.0; 41.6; 95.1; 16.9; 7.3; 16.9; 5.5; 5.1; 15.5; 20.5; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.7; 59; 1; 28; 29; 29; 20210712212915
10; 11; 39; 80; 17; 7; 14; 11; 11; 39; 49; 15; 5; 2; 4; 9; 6; 9; 11; 16.0; 41.6; 93.9; 16.9; 7.3; 16.9; 5.0; 5.1; 15.9; 19.7; 9.4; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.7; 59; 1; 28; 29; 28; 20210712212916
11; 10; 40; 83; 17; 7; 14; 11; 11; 39; 48; 15; 5; 2; 4; 9; 6; 9; 11; 14.6; 41.6; 92.8; 16.9; 7.3; 16.9; 5.0; 5.1; 15.5; 19.3; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.7; 59; 1; 28; 29; 28; 20210712212916
12; 10; 38; 78; 16; 7; 14; 10; 11; 39; 48; 15; 5; 2; 4; 9; 6; 9; 11; 14.6; 42.6; 91.6; 16.9; 7.3; 16.9; 5.5; 5.1; 15.5; 19.3; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.7; 59; 1; 28; 29; 28; 20210712212917
13; 10; 39; 80; 17; 7; 14; 11; 11; 39; 48; 15; 5; 2; 4; 9; 5; 9; 11; 14.6; 40.5; 90.5; 16.9; 7.3; 16.9; 5.0; 5.1; 15.5; 19.3; 8.8; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.7; 59; 1; 28; 29; 28; 20210712212917
14; 10; 39; 80; 17; 7; 14; 11; 11; 39; 49; 15; 5; 2; 4; 9; 6; 9; 11; 14.6; 41.6; 91.6; 16.9; 7.3; 16.9; 5.5; 5.1; 15.5; 19.7; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.7; 59; 1; 28; 29; 28; 20210712212917
15; 11; 40; 81; 17; 7; 14; 11; 12; 40; 50; 15; 5; 2; 4; 9; 6; 9; 11; 16.0; 42.6; 92.8; 16.9; 7.3; 16.9; 5.5; 5.6; 15.9; 20.1; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.7; 59; 1; 28; 30; 28; 20210712212918
16; 11; 38; 82; 17; 7; 14; 10; 11; 40; 46; 15; 5; 2; 4; 9; 6; 9; 11; 14.6; 40.5; 90.5; 15.9; 7.3; 16.9; 5.0; 5.1; 15.9; 18.9; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 28; 29; 28; 20210712212918
17; 11; 39; 88; 17; 7; 14; 10; 11; 38; 48; 15; 5; 2; 4; 9; 6; 9; 11; 16.0; 41.6; 98.5; 16.9; 7.3; 16.9; 5.0; 5.1; 15.1; 18.5; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.7; 59; 1; 28; 29; 28; 20210712212919
18; 11; 36; 82; 17; 7; 14; 10; 11; 39; 48; 15; 5; 2; 4; 9; 6; 9; 11; 16.0; 38.4; 85.9; 15.9; 7.3; 16.9; 5.0; 5.1; 15.5; 19.3; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.7; 59; 1; 28; 29; 28; 20210712212919
19; 11; 38; 84; 17; 7; 14; 10; 11; 38; 48; 15; 5; 2; 4; 10; 6; 9; 11; 16.0; 40.5; 96.2; 16.9; 7.3; 16.9; 5.0; 5.1; 15.1; 19.3; 8.8; 4.6; 1.9; 3.9; 9.0; 5.6; 7.2; 7.7; 59; 1; 28; 29; 28; 20210712212920
20; 11; 40; 80; 16; 7; 14; 10; 11; 38; 46; 15; 5; 2; 4; 9; 6; 9; 11; 16.0; 42.6; 91.6; 15.9; 7.3; 16.9; 5.0; 5.1; 15.1; 18.5; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.7; 59; 1; 28; 29; 28; 20210712212920
21; 10; 41; 72; 15; 7; 13; 10; 11; 38; 44; 15; 5; 2; 4; 9; 6; 9; 10; 14.6; 43.7; 82.5; 14.9; 7.3; 15.7; 5.0; 5.1; 15.1; 17.7; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 28; 29; 29; 20210712212920
22; 11; 37; 89; 18; 7; 14; 10; 11; 39; 51; 15; 5; 2; 4; 9; 5; 9; 12; 16.0; 39.4; 101.9; 17.9; 7.3; 16.9; 5.0; 5.1; 15.5; 20.5; 8.8; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 8.4; 59; 1; 28; 29; 28; 20210712212921
23; 11; 39; 86; 17; 7; 13; 10; 11; 37; 44; 15; 5; 2; 4; 10; 6; 9; 11; 16.0; 41.6; 83.6; 14.9; 7.3; 15.7; 5.0; 5.1; 14.7; 17.7; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.7; 59; 1; 28; 29; 29; 20210712212921
24; 11; 36; 77; 16; 7; 14; 10; 11; 40; 47; 15; 5; 2; 4; 10; 5; 9; 11; 16.0; 41.6; 99.6; 16.9; 7.3; 16.9; 5.0; 5.1; 14.7; 18.9; 8.8; 4.6; 1.9; 3.9; 9.0; 4.7; 7.2; 7.7; 59; 1; 28; 30; 28; 20210712212921
