Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
1; 29; 78; 147; 27; 12; 20; 35; 36; 99; 95; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 83.1; 168.4; 26.9; 12.5; 24.2; 17.5; 16.7; 39.4; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 28; 20210712212504
2; 29; 78; 147; 27; 12; 20; 35; 36; 99; 95; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 83.1; 168.4; 26.9; 12.5; 24.2; 17.5; 16.7; 39.4; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 29; 20210712212508
3; 29; 78; 146; 27; 12; 20; 35; 36; 99; 95; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 83.1; 167.2; 26.9; 12.5; 24.2; 17.5; 16.7; 39.4; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 27; 29; 28; 20210712212515
4; 29; 78; 146; 27; 12; 20; 35; 36; 99; 95; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 83.1; 167.2; 26.9; 12.5; 24.2; 17.5; 16.7; 39.4; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 28; 20210712212516
5; 29; 78; 146; 27; 12; 20; 35; 36; 99; 95; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 83.1; 167.2; 26.9; 12.5; 24.2; 17.5; 16.7; 39.4; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 29; 20210712212517
6; 29; 78; 146; 27; 12; 20; 35; 36; 99; 95; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 83.1; 167.2; 26.9; 12.5; 24.2; 17.5; 16.7; 39.4; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 28; 20210712212519
7; 29; 78; 146; 27; 12; 20; 35; 36; 99; 95; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 83.1; 167.2; 26.9; 12.5; 24.2; 17.5; 16.7; 39.4; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 28; 20210712212520
8; 29; 77; 146; 27; 12; 20; 35; 36; 100; 95; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 82.1; 167.2; 26.9; 12.5; 24.2; 17.5; 16.7; 39.8; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 28; 20210712212521
9; 29; 78; 147; 27; 12; 20; 35; 36; 99; 95; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 83.1; 168.4; 26.9; 12.5; 24.2; 17.5; 16.7; 39.4; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 28; 20210712212522
10; 29; 78; 146; 27; 12; 20; 35; 36; 100; 95; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 83.1; 167.2; 26.9; 12.5; 24.2; 17.5; 16.7; 39.4; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 29; 20210712212522
