Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
1; 29; 79; 145; 28; 12; 20; 34; 35; 99; 94; 20; 8; 4; 17; 44; 25; 42; 45; 42.3; 84.2; 166.1; 27.9; 12.5; 24.2; 17.0; 16.3; 39.4; 37.8; 11.7; 7.3; 3.8; 16.4; 39.7; 23.3; 33.4; 31.4; 59; 1; 28; 29; 28; 20210712213748
2; 29; 79; 146; 28; 12; 20; 33; 35; 99; 93; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 84.2; 167.2; 27.9; 12.5; 24.2; 16.5; 16.3; 39.4; 37.4; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 29; 20210712213752
3; 29; 79; 145; 28; 12; 20; 33; 35; 99; 93; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 84.2; 166.1; 27.9; 12.5; 24.2; 16.5; 16.3; 39.4; 37.4; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 28; 20210712213752
4; 29; 79; 145; 28; 12; 20; 33; 35; 99; 93; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 84.2; 166.1; 27.9; 12.5; 24.2; 16.5; 16.3; 39.4; 37.4; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 28; 20210712213752
5; 29; 79; 145; 28; 12; 20; 33; 34; 99; 93; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 84.2; 166.1; 27.9; 12.5; 24.2; 16.5; 15.8; 39.4; 37.4; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 28; 20210712213753
6; 29; 79; 145; 28; 12; 19; 33; 35; 99; 92; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 84.2; 164.9; 26.9; 12.5; 23.0; 16.5; 15.8; 39.4; 37.0; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 28; 20210712213753
7; 29; 79; 145; 28; 12; 20; 33; 34; 99; 92; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 84.2; 164.9; 26.9; 12.5; 24.2; 16.5; 15.8; 39.4; 37.0; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 28; 20210712213754
8; 29; 79; 145; 28; 12; 20; 33; 34; 99; 93; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 84.2; 167.2; 27.9; 12.5; 24.2; 16.5; 15.8; 39.4; 37.4; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 28; 20210712213754
9; 29; 79; 145; 28; 12; 20; 33; 34; 99; 93; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 84.2; 166.1; 27.9; 12.5; 24.2; 16.5; 15.8; 39.4; 37.4; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 30; 28; 20210712213754
10; 29; 79; 145; 28; 12; 20; 33; 34; 99; 93; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 84.2; 166.1; 27.9; 12.5; 24.2; 16.5; 15.8; 39.4; 37.4; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 28; 20210712213755
