Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
1; 9; 34; 68; 15; 6; 12; 10; 10; 34; 42; 14; 5; 2; 3; 9; 5; 8; 10; 13.1; 36.2; 77.9; 14.9; 6.2; 14.5; 5.0; 4.7; 13.5; 16.9; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712213854
2; 9; 34; 68; 15; 6; 12; 10; 10; 34; 42; 14; 5; 2; 3; 9; 5; 8; 10; 13.1; 36.2; 77.9; 14.9; 6.2; 14.5; 5.0; 4.7; 13.5; 16.9; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712213900
3; 9; 34; 68; 15; 6; 12; 10; 10; 33; 41; 14; 5; 2; 3; 9; 5; 8; 10; 13.1; 36.2; 77.9; 14.9; 6.2; 14.5; 5.0; 4.7; 13.5; 16.5; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712213900
4; 9; 35; 69; 15; 6; 12; 10; 10; 33; 42; 14; 5; 2; 3; 9; 5; 8; 10; 13.1; 36.2; 79.0; 14.9; 6.2; 14.5; 5.0; 4.7; 13.1; 16.9; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712213901
5; 9; 33; 68; 14; 6; 12; 9; 10; 33; 41; 14; 5; 2; 3; 8; 5; 8; 10; 13.1; 35.2; 77.9; 13.9; 6.2; 14.5; 4.5; 4.7; 13.1; 16.5; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712213901
6; 9; 33; 70; 14; 6; 12; 9; 9; 33; 41; 13; 5; 2; 3; 9; 5; 8; 9; 13.1; 35.2; 80.2; 13.9; 6.2; 14.5; 4.5; 4.2; 13.1; 16.5; 7.6; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 6.3; 59; 1; 28; 30; 28; 20210712213901
7; 9; 33; 69; 14; 6; 12; 9; 9; 33; 41; 13; 5; 2; 3; 9; 5; 8; 9; 13.1; 35.2; 80.2; 13.9; 6.2; 14.5; 4.5; 4.2; 13.1; 16.5; 7.6; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213902
8; 9; 33; 70; 15; 6; 12; 9; 9; 32; 42; 13; 5; 2; 3; 8; 5; 8; 9; 13.1; 35.2; 79.0; 13.9; 6.2; 14.5; 4.5; 4.2; 12.7; 16.5; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 29; 20210712213902
9; 9; 34; 71; 15; 6; 12; 10; 10; 33; 42; 13; 5; 2; 3; 9; 5; 8; 9; 13.1; 36.2; 79.0; 13.9; 6.2; 14.5; 4.5; 4.7; 13.1; 16.9; 7.6; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213903
10; 9; 35; 72; 15; 6; 12; 10; 10; 33; 42; 13; 5; 2; 3; 9; 5; 8; 9; 13.1; 37.3; 81.3; 14.9; 6.2; 14.5; 4.5; 4.7; 13.1; 16.9; 7.6; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213903
