Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
1; 29; 80; 150; 28; 12; 20; 33; 34; 98; 95; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 85.3; 171.8; 27.9; 12.5; 24.2; 16.5; 15.8; 39.0; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 30; 29; 20210712212749
2; 29; 80; 150; 28; 12; 20; 33; 34; 98; 95; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 85.3; 171.8; 27.9; 12.5; 24.2; 16.5; 15.8; 39.0; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 28; 20210712212752
3; 29; 80; 150; 28; 12; 20; 33; 34; 98; 95; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 85.3; 171.8; 27.9; 12.5; 24.2; 16.5; 15.8; 39.0; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 27; 30; 28; 20210712212753
4; 29; 80; 150; 28; 12; 20; 33; 34; 98; 95; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 85.3; 171.8; 27.9; 12.5; 24.2; 16.5; 15.8; 39.0; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 28; 20210712212753
5; 29; 80; 150; 28; 12; 20; 33; 34; 98; 95; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 85.3; 171.8; 27.9; 12.5; 24.2; 16.5; 15.8; 39.0; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 28; 20210712212753
6; 29; 80; 150; 28; 12; 20; 33; 34; 98; 95; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 85.3; 171.8; 27.9; 12.5; 24.2; 16.5; 15.8; 39.0; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 29; 20210712212754
7; 29; 81; 150; 28; 12; 20; 33; 34; 98; 95; 20; 8; 4; 17; 45; 26; 42; 45; 42.3; 86.3; 171.8; 27.9; 12.5; 24.2; 16.5; 15.8; 39.0; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 24.3; 33.4; 31.4; 59; 1; 28; 30; 28; 20210712212754
8; 29; 81; 150; 28; 12; 20; 33; 34; 98; 95; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 86.3; 171.8; 27.9; 12.5; 24.2; 16.5; 15.8; 39.0; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 28; 20210712212755
9; 30; 81; 150; 28; 12; 20; 33; 34; 98; 95; 20; 8; 4; 17; 45; 26; 42; 45; 43.7; 85.3; 171.8; 27.9; 12.5; 24.2; 16.5; 15.8; 39.0; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 24.3; 33.4; 31.4; 59; 1; 28; 30; 28; 20210712212755
10; 29; 80; 150; 28; 12; 20; 33; 34; 98; 95; 20; 8; 4; 17; 45; 26; 42; 45; 42.3; 85.3; 171.8; 27.9; 12.5; 24.2; 16.5; 15.8; 39.0; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 24.3; 33.4; 31.4; 59; 1; 28; 29; 28; 20210712212756
