Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
1; 9; 33; 75; 15; 6; 12; 8; 9; 31; 39; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 35.2; 85.9; 14.9; 6.2; 14.5; 4.0; 4.2; 12.3; 15.7; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 30; 28; 20210712213158
2; 9; 33; 74; 15; 6; 12; 8; 9; 31; 39; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 35.2; 84.7; 14.9; 6.2; 14.5; 4.0; 4.2; 12.3; 15.7; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 30; 28; 20210712213202
3; 9; 33; 75; 15; 6; 12; 8; 9; 31; 39; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 35.2; 84.7; 14.9; 6.2; 14.5; 4.0; 4.2; 12.3; 15.7; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213203
4; 9; 33; 74; 15; 6; 12; 8; 9; 31; 39; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 35.2; 84.7; 14.9; 6.2; 14.5; 4.0; 4.2; 12.3; 15.7; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213203
5; 9; 33; 74; 15; 6; 12; 8; 9; 31; 39; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 35.2; 84.7; 14.9; 6.2; 14.5; 4.0; 4.2; 12.3; 15.7; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213203
6; 9; 33; 74; 15; 6; 12; 8; 9; 32; 38; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 35.2; 84.7; 14.9; 6.2; 14.5; 4.0; 4.2; 12.3; 15.3; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213204
7; 9; 33; 75; 15; 6; 12; 9; 9; 32; 39; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 35.2; 84.7; 14.9; 6.2; 14.5; 4.0; 4.2; 12.7; 15.7; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213204
8; 9; 33; 75; 15; 6; 12; 9; 9; 33; 39; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 35.2; 83.6; 14.9; 6.2; 14.5; 4.0; 4.2; 12.7; 15.7; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 30; 28; 20210712213205
9; 9; 33; 74; 15; 6; 13; 9; 10; 33; 40; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 35.2; 84.7; 14.9; 6.2; 15.7; 4.5; 4.7; 13.1; 16.1; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213205
10; 9; 34; 75; 15; 6; 12; 9; 9; 32; 40; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 36.2; 85.9; 14.9; 6.2; 14.5; 4.5; 4.2; 12.7; 16.1; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213205
11; 9; 32; 70; 14; 6; 12; 9; 9; 32; 40; 13; 5; 2; 3; 8; 5; 8; 9; 13.1; 34.1; 80.2; 13.9; 6.2; 14.5; 4.5; 4.2; 12.7; 16.1; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213206
12; 8; 33; 71; 15; 6; 12; 9; 9; 32; 38; 14; 5; 2; 3; 8; 5; 8; 9; 11.7; 35.2; 81.3; 14.9; 6.2; 14.5; 4.5; 4.2; 12.7; 15.3; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213206
13; 8; 31; 65; 14; 6; 12; 8; 9; 32; 40; 13; 5; 2; 3; 8; 5; 8; 9; 11.7; 33.0; 74.4; 13.9; 6.2; 14.5; 4.0; 4.2; 12.7; 16.1; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 29; 20210712213207
14; 8; 34; 72; 15; 6; 12; 9; 9; 33; 42; 14; 5; 2; 3; 8; 5; 8; 9; 11.7; 36.2; 81.3; 14.9; 6.2; 14.5; 4.5; 4.7; 13.1; 15.3; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213207
15; 8; 32; 66; 14; 6; 12; 9; 9; 32; 38; 13; 5; 2; 3; 8; 5; 7; 9; 11.7; 34.1; 76.7; 14.9; 6.2; 14.5; 4.5; 4.2; 12.7; 16.9; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 5.6; 6.3; 59; 1; 28; 29; 28; 20210712213207
16; 9; 33; 71; 15; 6; 12; 9; 9; 32; 42; 14; 5; 2; 3; 8; 5; 8; 9; 11.7; 35.2; 75.6; 14.9; 6.2; 14.5; 4.5; 4.2; 12.7; 15.3; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213208
17; 8; 34; 66; 14; 6; 12; 9; 9; 33; 39; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 36.2; 81.3; 14.9; 6.2; 14.5; 4.5; 4.7; 13.1; 16.9; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213208
18; 8; 32; 68; 14; 6; 12; 9; 9; 33; 40; 14; 5; 2; 3; 8; 5; 8; 9; 11.7; 34.1; 79.0; 13.9; 6.2; 14.5; 4.5; 4.2; 13.1; 15.7; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213209
19; 8; 32; 69; 15; 6; 12; 9; 9; 32; 41; 13; 5; 2; 3; 8; 5; 7; 9; 11.7; 34.1; 77.9; 13.9; 6.2; 14.5; 4.5; 4.2; 12.7; 16.1; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 5.6; 6.3; 59; 1; 28; 29; 29; 20210712213209
20; 8; 32; 69; 15; 6; 12; 9; 10; 33; 40; 14; 5; 2; 3; 8; 5; 8; 9; 11.7; 34.1; 79.0; 14.9; 6.2; 14.5; 4.5; 4.2; 13.1; 16.5; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213209
21; 8; 32; 66; 14; 6; 12; 9; 9; 33; 37; 13; 5; 2; 3; 8; 5; 8; 9; 11.7; 34.1; 77.9; 13.9; 6.2; 14.5; 4.5; 4.2; 13.1; 16.1; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213210
22; 8; 31; 69; 15; 6; 12; 9; 9; 31; 39; 13; 5; 2; 3; 8; 5; 7; 9; 11.7; 33.0; 77.9; 13.9; 6.2; 14.5; 4.5; 4.2; 12.3; 14.9; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 5.6; 6.3; 59; 1; 28; 29; 28; 20210712213210
23; 8; 32; 69; 15; 6; 12; 9; 9; 32; 40; 13; 5; 2; 3; 8; 5; 7; 9; 11.7; 34.1; 76.7; 13.9; 6.2; 14.5; 4.5; 4.2; 12.7; 15.7; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 5.6; 6.3; 59; 1; 28; 29; 28; 20210712213211
24; 8; 32; 67; 14; 6; 12; 9; 9; 32; 38; 13; 5; 2; 3; 8; 5; 8; 9; 11.7; 34.1; 76.7; 13.9; 6.2; 14.5; 4.5; 4.2; 12.7; 16.1; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213211
25; 8; 30; 67; 15; 6; 12; 9; 9; 33; 41; 13; 5; 2; 3; 8; 5; 7; 9; 11.7; 32.0; 71.0; 13.9; 6.2; 14.5; 4.0; 4.2; 13.1; 15.3; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 5.6; 6.3; 59; 1; 28; 29; 28; 20210712213211
26; 8; 34; 67; 15; 6; 12; 9; 9; 31; 40; 14; 5; 2; 3; 8; 5; 8; 9; 11.7; 36.2; 77.9; 14.9; 6.2; 14.5; 4.5; 4.2; 12.3; 16.5; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 29; 20210712213212
27; 8; 31; 62; 13; 6; 12; 8; 9; 32; 36; 13; 5; 2; 3; 8; 5; 8; 9; 11.7; 33.0; 73.3; 13.9; 6.2; 14.5; 4.0; 4.2; 12.7; 16.1; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213212
28; 9; 32; 74; 16; 6; 13; 9; 9; 33; 43; 13; 5; 2; 3; 8; 5; 7; 9; 11.7; 34.1; 74.4; 13.9; 6.2; 14.5; 4.5; 4.2; 13.1; 14.5; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 5.6; 6.3; 59; 1; 28; 30; 28; 20210712213212
29; 9; 35; 67; 14; 6; 12; 8; 9; 31; 37; 14; 5; 2; 3; 8; 5; 7; 9; 13.1; 37.3; 81.3; 14.9; 6.2; 15.7; 4.5; 4.2; 12.3; 17.3; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 5.6; 6.3; 59; 1; 28; 29; 28; 20210712213213
30; 9; 30; 68; 15; 6; 12; 9; 9; 33; 40; 13; 5; 2; 3; 8; 5; 8; 9; 13.1; 32.0; 71.0; 12.9; 6.2; 14.5; 4.5; 4.2; 13.1; 14.9; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213213
31; 8; 33; 73; 16; 6; 12; 9; 9; 33; 43; 13; 4; 2; 3; 8; 5; 8; 9; 13.1; 35.2; 76.7; 13.9; 6.2; 14.5; 4.5; 4.7; 13.1; 16.1; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213214
32; 9; 33; 66; 14; 6; 12; 9; 9; 33; 38; 14; 5; 2; 3; 8; 5; 8; 9; 11.7; 35.2; 76.7; 14.9; 6.2; 14.5; 4.5; 4.2; 13.1; 17.3; 8.2; 3.7; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213214
33; 9; 33; 71; 15; 6; 12; 9; 9; 32; 42; 13; 5; 2; 3; 8; 5; 8; 9; 13.1; 35.2; 81.3; 14.9; 6.2; 14.5; 4.5; 4.2; 12.7; 16.9; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213214
34; 9; 33; 67; 14; 6; 12; 9; 9; 32; 38; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 35.2; 76.7; 13.9; 6.2; 14.5; 4.5; 4.2; 12.7; 15.3; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213215
35; 9; 33; 72; 15; 6; 12; 9; 9; 32; 41; 14; 4; 2; 3; 8; 5; 8; 9; 13.1; 35.2; 82.5; 14.9; 6.2; 14.5; 4.5; 4.2; 12.7; 16.5; 8.2; 3.7; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213215
36; 9; 31; 65; 14; 6; 12; 9; 9; 32; 38; 13; 5; 2; 3; 8; 5; 7; 9; 13.1; 36.2; 75.6; 13.9; 6.2; 14.5; 4.5; 4.2; 12.3; 15.3; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 30; 28; 20210712213216
37; 9; 33; 69; 15; 6; 12; 9; 9; 32; 39; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 33.0; 76.7; 13.9; 6.2; 14.5; 4.5; 4.2; 12.7; 15.7; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 5.6; 6.3; 59; 1; 28; 29; 28; 20210712213216
38; 8; 30; 62; 13; 6; 12; 9; 9; 33; 38; 13; 5; 2; 3; 8; 5; 7; 8; 11.7; 35.2; 75.6; 13.9; 6.2; 14.5; 4.5; 4.2; 12.7; 15.3; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 5.6; 59; 1; 28; 29; 28; 20210712213216
39; 8; 30; 65; 14; 6; 12; 9; 9; 33; 40; 13; 5; 2; 3; 8; 5; 8; 9; 11.7; 32.0; 76.7; 13.9; 6.2; 14.5; 4.5; 4.7; 13.1; 16.1; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 5.6; 6.3; 59; 1; 28; 30; 28; 20210712213217
40; 8; 33; 67; 14; 6; 12; 9; 9; 31; 40; 14; 5; 2; 3; 8; 5; 7; 9; 11.7; 32.0; 76.7; 13.9; 6.2; 14.5; 4.5; 4.2; 13.1; 16.1; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 30; 28; 20210712213217
41; 8; 34; 69; 15; 6; 12; 9; 9; 31; 41; 13; 5; 2; 3; 8; 5; 7; 9; 11.7; 35.2; 76.7; 14.9; 6.2; 14.5; 4.5; 4.2; 12.3; 16.5; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 5.6; 6.3; 59; 1; 28; 29; 28; 20210712213218
