Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
1; 9; 35; 82; 16; 7; 13; 9; 9; 33; 42; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 37.3; 93.9; 15.9; 7.3; 15.7; 4.5; 4.2; 13.1; 16.9; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213507
2; 9; 35; 82; 16; 7; 13; 9; 9; 33; 42; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 37.3; 93.9; 15.9; 7.3; 15.7; 4.5; 4.2; 13.1; 16.9; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213509
3; 9; 35; 82; 16; 7; 13; 9; 9; 33; 43; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 37.3; 93.9; 15.9; 7.3; 15.7; 4.5; 4.2; 13.1; 17.3; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213509
4; 9; 34; 75; 15; 6; 13; 9; 9; 33; 42; 14; 5; 2; 3; 8; 5; 7; 9; 13.1; 37.3; 88.2; 15.9; 7.3; 15.7; 4.5; 4.2; 13.1; 16.9; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213509
5; 9; 33; 70; 15; 6; 12; 9; 9; 34; 40; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 36.2; 85.9; 14.9; 6.2; 14.5; 4.5; 4.2; 13.1; 16.1; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 5.6; 6.3; 59; 1; 28; 29; 28; 20210712213510
6; 8; 32; 68; 14; 6; 12; 9; 9; 33; 39; 13; 5; 2; 3; 8; 5; 7; 9; 11.7; 35.2; 80.2; 14.9; 6.2; 14.5; 4.5; 4.2; 13.5; 15.7; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213510
7; 9; 34; 73; 15; 6; 12; 9; 9; 32; 39; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 34.1; 75.6; 13.9; 6.2; 14.5; 4.5; 4.2; 13.1; 15.7; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 5.6; 6.3; 59; 1; 28; 29; 28; 20210712213511
8; 8; 32; 67; 14; 6; 13; 9; 9; 32; 42; 13; 5; 2; 3; 8; 5; 7; 9; 11.7; 36.2; 80.2; 14.9; 6.2; 15.7; 4.5; 4.2; 12.7; 16.9; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213511
9; 8; 33; 70; 15; 6; 12; 9; 9; 32; 40; 14; 5; 2; 3; 8; 5; 7; 9; 11.7; 34.1; 77.9; 13.9; 6.2; 14.5; 4.5; 4.2; 12.7; 16.1; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 5.6; 6.3; 59; 1; 28; 29; 28; 20210712213511
10; 9; 33; 71; 15; 6; 12; 9; 9; 32; 40; 14; 5; 2; 3; 8; 5; 7; 9; 13.1; 35.2; 80.2; 13.9; 6.2; 14.5; 4.5; 4.2; 12.7; 16.1; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 5.6; 6.3; 59; 1; 28; 29; 28; 20210712213512
11; 8; 34; 74; 15; 6; 12; 9; 9; 33; 40; 14; 5; 2; 3; 8; 5; 7; 9; 11.7; 35.2; 81.3; 14.9; 6.2; 14.5; 4.5; 4.2; 12.7; 16.1; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 5.6; 6.3; 59; 1; 28; 29; 28; 20210712213512
12; 9; 34; 76; 16; 6; 12; 8; 9; 33; 40; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 36.2; 87.0; 15.9; 6.2; 14.5; 4.0; 4.2; 13.1; 16.1; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712213513
13; 9; 32; 69; 14; 6; 12; 9; 9; 33; 40; 13; 5; 2; 3; 8; 5; 7; 9; 13.1; 34.1; 79.0; 13.9; 6.2; 14.5; 4.5; 4.2; 13.1; 16.1; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 5.6; 6.3; 59; 1; 28; 29; 28; 20210712213513
14; 8; 34; 70; 15; 6; 12; 9; 9; 32; 40; 14; 5; 2; 3; 8; 5; 7; 9; 13.1; 36.2; 83.6; 14.9; 6.2; 14.5; 4.5; 4.2; 12.7; 16.1; 8.2; 3.7; 1.9; 2.9; 7.2; 4.7; 5.6; 6.3; 59; 1; 28; 29; 28; 20210712213513
