Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
1; 10; 33; 81; 16; 6; 12; 9; 9; 32; 39; 13; 5; 2; 4; 9; 5; 9; 10; 14.6; 35.2; 92.8; 15.9; 6.2; 14.5; 4.5; 4.2; 12.7; 15.7; 7.6; 4.6; 1.9; 3.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 29; 29; 20210712214538
2; 10; 33; 81; 16; 6; 12; 9; 9; 32; 39; 13; 5; 2; 4; 9; 5; 9; 10; 14.6; 35.2; 92.8; 15.9; 6.2; 14.5; 4.5; 4.2; 12.7; 15.7; 7.6; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.0; 59; 1; 28; 30; 29; 20210712214543
3; 10; 33; 80; 16; 6; 12; 9; 9; 32; 39; 13; 5; 2; 4; 9; 5; 8; 10; 14.6; 35.2; 91.6; 15.9; 6.2; 14.5; 4.5; 4.2; 12.7; 15.7; 7.6; 4.6; 1.9; 3.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 29; 29; 20210712214543
4; 9; 35; 71; 15; 6; 12; 9; 9; 31; 39; 13; 5; 2; 3; 8; 5; 8; 10; 13.1; 37.3; 87.0; 15.9; 6.2; 13.3; 4.5; 4.2; 12.3; 14.5; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 7.0; 59; 1; 28; 30; 29; 20210712214543
5; 9; 32; 66; 14; 6; 11; 8; 9; 31; 35; 13; 5; 2; 3; 8; 5; 8; 9; 13.1; 34.1; 80.2; 14.9; 6.2; 14.5; 4.5; 4.2; 12.3; 15.7; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712214544
6; 9; 31; 72; 15; 6; 12; 9; 9; 32; 38; 13; 5; 2; 3; 8; 5; 8; 10; 13.1; 33.0; 81.3; 13.9; 6.2; 13.3; 4.5; 4.2; 12.7; 14.1; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712214544
7; 9; 32; 73; 15; 6; 12; 9; 9; 31; 38; 13; 5; 2; 3; 8; 5; 8; 9; 13.1; 34.1; 84.7; 14.9; 6.2; 14.5; 4.5; 4.2; 12.3; 15.3; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712214545
8; 9; 33; 73; 15; 6; 12; 9; 9; 33; 38; 13; 5; 2; 3; 8; 5; 8; 9; 13.1; 35.2; 84.7; 14.9; 6.2; 14.5; 4.5; 4.2; 13.1; 15.3; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 29; 20210712214545
9; 9; 34; 73; 15; 6; 12; 9; 9; 32; 39; 13; 5; 2; 3; 8; 5; 8; 10; 13.1; 36.2; 84.7; 14.9; 6.2; 14.5; 4.5; 4.2; 12.7; 15.3; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712214545
10; 9; 32; 73; 15; 6; 12; 9; 9; 33; 38; 13; 5; 2; 3; 9; 5; 8; 10; 13.1; 34.1; 83.6; 14.9; 6.2; 14.5; 4.5; 4.2; 13.1; 15.3; 7.6; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 30; 28; 20210712214546
