Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
1; 10; 34; 76; 16; 7; 13; 9; 10; 36; 41; 14; 5; 2; 4; 9; 5; 8; 10; 14.6; 36.2; 87.0; 15.9; 7.3; 15.7; 4.5; 4.7; 14.3; 16.5; 8.2; 4.6; 1.9; 3.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712214805
2; 10; 34; 76; 16; 7; 13; 9; 10; 36; 40; 14; 5; 2; 4; 9; 5; 8; 10; 14.6; 36.2; 87.0; 15.9; 7.3; 15.7; 4.5; 4.7; 14.3; 16.1; 8.2; 4.6; 1.9; 3.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712214807
3; 10; 34; 76; 16; 7; 13; 9; 10; 36; 41; 14; 5; 2; 4; 9; 5; 8; 10; 14.6; 36.2; 87.0; 15.9; 7.3; 15.7; 4.5; 4.7; 14.3; 16.5; 8.2; 4.6; 1.9; 3.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712214807
4; 10; 35; 77; 16; 7; 13; 9; 9; 34; 41; 14; 5; 2; 3; 9; 5; 8; 10; 14.6; 36.2; 88.2; 15.9; 7.3; 15.7; 4.5; 4.7; 14.3; 16.5; 8.2; 4.6; 1.9; 3.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712214808
5; 9; 37; 78; 16; 6; 13; 10; 10; 33; 42; 14; 5; 2; 3; 8; 5; 8; 10; 13.1; 37.3; 88.2; 15.9; 7.3; 15.7; 4.5; 4.2; 13.5; 16.9; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712214808
6; 9; 36; 75; 15; 6; 13; 9; 9; 33; 41; 14; 5; 2; 3; 8; 5; 8; 10; 13.1; 39.4; 83.6; 14.9; 6.2; 15.7; 4.5; 4.2; 13.1; 16.5; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 7.0; 59; 1; 28; 29; 29; 20210712214808
7; 9; 35; 75; 15; 6; 13; 10; 10; 35; 43; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 38.4; 84.7; 14.9; 6.2; 15.7; 4.5; 4.2; 13.1; 17.3; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712214809
8; 9; 35; 75; 16; 6; 13; 9; 10; 34; 44; 14; 5; 2; 3; 8; 5; 8; 10; 13.1; 37.3; 85.9; 15.9; 6.2; 15.7; 5.0; 4.7; 13.9; 17.7; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712214809
9; 9; 34; 69; 15; 6; 13; 10; 10; 35; 43; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 36.2; 79.0; 14.9; 6.2; 15.7; 5.0; 4.7; 13.9; 17.3; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 30; 28; 20210712214810
10; 9; 36; 72; 15; 6; 12; 10; 10; 32; 41; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 38.4; 82.5; 14.9; 6.2; 14.5; 5.0; 4.7; 12.7; 16.5; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 28; 20210712214810
