Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
1; 9; 34; 71; 15; 6; 12; 10; 10; 35; 41; 14; 5; 2; 4; 9; 6; 9; 10; 13.1; 36.2; 81.3; 14.9; 6.2; 14.5; 5.0; 4.7; 13.9; 16.5; 8.2; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 28; 29; 28; 20210712212554
2; 9; 34; 71; 15; 6; 12; 10; 10; 35; 41; 14; 5; 2; 4; 9; 6; 9; 10; 13.1; 36.2; 81.3; 14.9; 6.2; 14.5; 5.0; 4.7; 13.9; 16.5; 8.2; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 28; 30; 28; 20210712212602
3; 9; 34; 71; 15; 6; 12; 10; 10; 35; 41; 14; 5; 2; 4; 9; 6; 9; 10; 13.1; 36.2; 81.3; 14.9; 6.2; 14.5; 5.0; 4.7; 13.9; 16.5; 8.2; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 28; 29; 28; 20210712212602
4; 9; 34; 72; 15; 6; 12; 10; 10; 35; 41; 14; 5; 2; 3; 9; 5; 9; 10; 13.1; 36.2; 81.3; 14.9; 6.2; 14.5; 5.0; 4.7; 13.9; 16.5; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 7.2; 7.0; 59; 1; 28; 30; 28; 20210712212603
5; 9; 34; 71; 15; 6; 12; 10; 10; 35; 42; 14; 5; 2; 3; 9; 6; 9; 10; 13.1; 36.2; 82.5; 14.9; 6.2; 14.5; 5.0; 4.7; 13.9; 16.9; 8.2; 4.6; 1.9; 2.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 28; 28; 28; 20210712212603
6; 9; 35; 70; 15; 6; 12; 10; 10; 34; 41; 14; 5; 2; 4; 9; 5; 9; 10; 13.1; 36.2; 79.0; 14.9; 6.2; 14.5; 5.0; 4.7; 13.9; 16.5; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 7.2; 7.0; 59; 1; 28; 29; 28; 20210712212603
7; 9; 34; 68; 14; 6; 13; 10; 10; 35; 43; 13; 5; 2; 3; 8; 5; 9; 10; 13.1; 37.3; 80.2; 14.9; 6.2; 15.7; 5.0; 4.7; 13.5; 17.3; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 7.2; 7.0; 59; 1; 28; 29; 28; 20210712212604
8; 9; 34; 70; 15; 6; 12; 10; 10; 36; 42; 13; 5; 2; 3; 9; 6; 9; 10; 13.1; 36.2; 82.5; 14.9; 6.2; 14.5; 5.0; 5.1; 13.9; 16.9; 7.6; 4.6; 1.9; 2.9; 7.2; 5.6; 7.2; 7.0; 59; 1; 28; 29; 28; 20210712212604
9; 9; 34; 71; 15; 6; 12; 10; 10; 34; 42; 13; 5; 2; 3; 8; 6; 8; 10; 13.1; 36.2; 81.3; 14.9; 6.2; 14.5; 5.0; 5.1; 14.3; 16.9; 7.6; 4.6; 1.9; 2.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 28; 29; 28; 20210712212605
10; 9; 34; 74; 15; 6; 12; 10; 11; 34; 42; 13; 5; 2; 3; 8; 5; 8; 10; 13.1; 36.2; 85.9; 14.9; 6.2; 14.5; 5.0; 4.7; 13.5; 16.9; 7.6; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712212605
