Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
1; 29; 78; 149; 28; 12; 20; 35; 36; 99; 95; 20; 8; 4; 17; 46; 25; 43; 45; 42.3; 83.1; 170.6; 27.9; 12.5; 24.2; 17.5; 16.7; 39.4; 38.2; 11.7; 7.3; 3.8; 16.4; 41.5; 23.3; 34.2; 31.4; 59; 1; 28; 29; 29; 20210712211218
2; 10; 37; 87; 17; 7; 13; 9; 9; 33; 45; 14; 5; 2; 3; 9; 5; 8; 10; 14.6; 39.4; 99.6; 16.9; 7.3; 15.7; 4.5; 4.2; 13.1; 18.1; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712211602
3; 10; 37; 87; 17; 7; 13; 9; 9; 33; 45; 14; 5; 2; 3; 9; 5; 8; 10; 14.6; 39.4; 99.6; 16.9; 7.3; 15.7; 4.5; 4.2; 13.1; 18.1; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712211602
4; 10; 37; 87; 17; 7; 13; 9; 9; 33; 45; 14; 5; 2; 3; 9; 5; 8; 10; 14.6; 39.4; 99.6; 16.9; 7.3; 15.7; 4.5; 4.2; 13.1; 18.1; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712211603
5; 10; 37; 87; 17; 7; 13; 9; 9; 33; 45; 14; 5; 2; 3; 9; 5; 8; 10; 14.6; 39.4; 99.6; 16.9; 7.3; 15.7; 4.5; 4.2; 13.1; 18.1; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712211603
6; 10; 37; 87; 17; 7; 13; 9; 9; 33; 45; 14; 5; 2; 3; 9; 5; 8; 10; 14.6; 39.4; 99.6; 16.9; 7.3; 15.7; 4.5; 4.2; 13.1; 18.1; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712211604
7; 10; 37; 87; 17; 7; 13; 9; 9; 33; 45; 14; 5; 2; 3; 9; 5; 8; 10; 14.6; 39.4; 99.6; 16.9; 7.3; 15.7; 4.5; 4.2; 13.1; 18.1; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712211604
8; 10; 37; 87; 17; 7; 13; 9; 9; 33; 45; 14; 5; 2; 3; 9; 5; 8; 10; 14.6; 39.4; 99.6; 16.9; 7.3; 15.7; 4.5; 4.2; 13.1; 18.1; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712211604
9; 10; 37; 87; 17; 7; 13; 9; 9; 33; 45; 14; 5; 2; 3; 9; 5; 8; 10; 14.6; 39.4; 99.6; 16.9; 7.3; 15.7; 4.5; 4.2; 13.1; 18.1; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712211605
10; 10; 37; 82; 16; 7; 13; 9; 10; 33; 43; 14; 5; 2; 3; 9; 5; 8; 10; 14.6; 39.4; 98.5; 16.9; 7.3; 15.7; 4.5; 4.2; 13.1; 18.1; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712211605
11; 9; 35; 79; 16; 6; 13; 9; 10; 33; 44; 14; 5; 2; 3; 9; 5; 8; 10; 14.6; 37.3; 90.5; 15.9; 6.2; 15.7; 5.0; 4.7; 13.1; 17.3; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712211606
