Sample,; A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); G (560nm); H (585nm); R (610nm); I (645nm); S (680nm); J (705nm); T (730nm); U (760nm); V (810nm); W (860nm); K (900nm); L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Cal. G (560nm); Cal. H (585nm); Cal. R (610nm); Cal. I (645nm); Cal. S (680nm); Cal. J (705nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. K (900nm); Cal. L (940nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
27; 1; 2; 4; 3; 5; 5; 6; 7; 5; 24; 22; 28; 52; 11; 4; 8; 9; 3; 1.0; 1.9; 3.6; 2.8; 4.0; 3.5; 3.0; 3.3; 7.3; 9.5; 23.4; 11.3; 58.4; 11.0; 4.2; 9.7; 5.3; 2.7; 59; 1; 27; 28; 28; 20210428195526
28; 1; 2; 4; 3; 4; 5; 6; 7; 5; 24; 22; 28; 52; 11; 4; 8; 9; 3; 1.0; 1.9; 3.6; 2.8; 4.0; 3.5; 3.0; 3.3; 7.3; 9.5; 23.4; 11.3; 59.6; 11.0; 4.2; 9.7; 5.3; 2.7; 59; 1; 27; 28; 29; 20210428195527
29; 1; 2; 4; 3; 4; 5; 6; 7; 5; 24; 22; 28; 52; 11; 4; 8; 9; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 3.0; 3.3; 7.3; 9.5; 23.4; 11.3; 59.6; 11.0; 4.2; 9.7; 5.3; 2.7; 59; 1; 27; 28; 28; 20210428195527
30; 1; 2; 4; 3; 4; 5; 6; 7; 5; 24; 22; 28; 52; 11; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 3.0; 3.3; 7.3; 9.5; 23.4; 11.3; 59.6; 11.0; 4.2; 9.7; 5.3; 2.7; 59; 1; 28; 28; 28; 20210428195528
31; 1; 2; 4; 3; 4; 6; 6; 7; 5; 24; 21; 27; 52; 11; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 4.2; 3.0; 3.3; 7.3; 9.5; 23.4; 10.9; 58.4; 11.0; 4.2; 9.7; 4.7; 2.7; 59; 1; 28; 29; 28; 20210428195528
32; 1; 2; 4; 3; 4; 6; 6; 7; 5; 24; 21; 27; 52; 11; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 4.2; 3.0; 3.3; 7.3; 9.5; 22.4; 10.9; 59.6; 11.0; 4.2; 9.7; 4.7; 2.7; 59; 1; 27; 29; 28; 20210428195528
33; 1; 2; 4; 3; 4; 6; 6; 7; 5; 23; 21; 27; 52; 11; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 4.2; 3.0; 3.3; 7.3; 9.5; 22.4; 10.9; 59.6; 11.0; 4.2; 9.7; 4.7; 2.7; 59; 1; 27; 28; 29; 20210428195529
34; 1; 2; 4; 3; 4; 6; 6; 7; 5; 23; 21; 27; 52; 11; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 4.2; 3.0; 3.3; 7.3; 9.1; 22.4; 10.9; 59.6; 11.0; 4.2; 9.7; 4.7; 2.7; 59; 1; 28; 28; 28; 20210428195529
35; 1; 2; 4; 3; 4; 6; 6; 7; 5; 24; 21; 27; 51; 11; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 4.2; 3.0; 3.3; 7.3; 9.5; 22.4; 10.9; 58.4; 11.0; 4.2; 9.7; 4.7; 2.7; 59; 1; 27; 28; 28; 20210428195530
36; 1; 2; 4; 3; 4; 6; 6; 7; 5; 24; 22; 27; 52; 11; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 4.2; 3.0; 3.3; 7.3; 9.5; 23.4; 10.9; 59.6; 11.0; 4.2; 9.7; 4.7; 2.7; 59; 1; 27; 29; 28; 20210428195530
37; 1; 2; 4; 3; 5; 5; 6; 7; 5; 24; 22; 28; 52; 11; 4; 8; 9; 3; 1.0; 1.9; 3.6; 2.8; 4.0; 3.5; 3.0; 3.3; 7.3; 9.5; 23.4; 11.3; 59.6; 11.0; 4.2; 9.7; 5.3; 2.7; 59; 1; 27; 29; 28; 20210428195530
38; 1; 2; 4; 3; 5; 5; 7; 7; 5; 24; 22; 28; 53; 11; 4; 8; 9; 3; 1.0; 1.9; 3.6; 2.8; 4.0; 3.5; 3.5; 3.3; 7.3; 9.5; 23.4; 11.3; 60.7; 11.0; 4.2; 9.7; 5.3; 2.7; 59; 1; 27; 28; 28; 20210428195531
39; 1; 2; 4; 3; 5; 5; 7; 7; 5; 24; 22; 28; 53; 11; 4; 8; 9; 3; 1.0; 1.9; 3.6; 2.8; 4.0; 3.5; 3.5; 3.3; 7.3; 9.5; 23.4; 11.3; 60.7; 11.0; 4.2; 9.7; 5.3; 2.7; 59; 1; 27; 29; 29; 20210428195531
40; 1; 2; 4; 3; 5; 6; 7; 7; 5; 24; 22; 28; 52; 11; 4; 8; 9; 3; 1.0; 1.9; 3.6; 2.8; 4.0; 3.5; 3.5; 3.3; 7.3; 9.5; 23.4; 11.3; 59.6; 11.0; 4.2; 9.7; 5.3; 2.7; 59; 1; 27; 29; 29; 20210428195532
41; 1; 2; 4; 3; 5; 6; 7; 7; 5; 24; 22; 29; 53; 11; 4; 8; 9; 3; 1.0; 1.9; 3.6; 2.8; 4.0; 4.2; 3.5; 3.3; 7.3; 9.5; 23.4; 11.3; 60.7; 11.0; 4.2; 9.7; 5.3; 2.7; 59; 1; 27; 29; 28; 20210428195532
42; 1; 2; 4; 3; 5; 6; 7; 7; 5; 24; 23; 29; 53; 11; 4; 8; 9; 3; 1.0; 1.9; 3.6; 2.8; 4.0; 4.2; 3.5; 3.3; 7.3; 9.5; 24.5; 11.7; 60.7; 11.0; 4.2; 9.7; 5.3; 2.7; 59; 1; 28; 28; 28; 20210428195532
