Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
1; 9; 36; 80; 17; 6; 13; 10; 10; 35; 44; 14; 5; 2; 3; 8; 5; 8; 10; 13.1; 38.4; 91.6; 16.9; 6.2; 15.7; 5.0; 4.7; 13.9; 17.7; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 7.0; 59; 1; 28; 29; 30; 20210529185045
2; 9; 35; 71; 16; 6; 13; 10; 10; 34; 43; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 37.3; 81.3; 15.9; 6.2; 15.7; 5.0; 4.7; 13.5; 17.3; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 29; 20210529185247
3; 9; 35; 71; 16; 6; 13; 10; 10; 34; 43; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 37.3; 81.3; 15.9; 6.2; 15.7; 5.0; 4.7; 13.5; 17.3; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 29; 20210529185247
4; 9; 35; 71; 16; 6; 13; 10; 10; 34; 43; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 37.3; 81.3; 15.9; 6.2; 15.7; 5.0; 4.7; 13.5; 17.3; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 30; 20210529185248
5; 9; 35; 71; 16; 6; 13; 10; 10; 34; 43; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 37.3; 81.3; 15.9; 6.2; 15.7; 5.0; 4.7; 13.5; 17.3; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 29; 20210529185248
6; 9; 35; 69; 16; 6; 13; 10; 10; 35; 42; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 37.3; 81.3; 15.9; 6.2; 15.7; 5.0; 4.7; 13.9; 17.3; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 29; 20210529185249
7; 9; 35; 72; 16; 6; 13; 9; 9; 33; 42; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 37.3; 81.3; 15.9; 6.2; 15.7; 4.5; 4.7; 13.1; 16.9; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 30; 29; 20210529185249
8; 8; 34; 70; 16; 6; 13; 9; 9; 32; 42; 14; 5; 2; 3; 8; 5; 7; 9; 13.1; 36.2; 79.0; 15.9; 6.2; 15.7; 4.5; 4.2; 12.7; 16.9; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 5.6; 6.3; 59; 1; 28; 29; 29; 20210529185250
9; 9; 35; 71; 16; 6; 13; 9; 10; 33; 43; 14; 5; 2; 3; 8; 5; 7; 9; 13.1; 37.3; 81.3; 15.9; 6.2; 15.7; 4.5; 4.7; 13.1; 17.3; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 5.6; 6.3; 59; 1; 28; 29; 29; 20210529185250
10; 9; 35; 71; 16; 6; 13; 9; 10; 33; 43; 14; 5; 2; 3; 8; 5; 7; 9; 13.1; 37.3; 81.3; 15.9; 6.2; 15.7; 4.5; 4.7; 13.1; 17.3; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 5.6; 6.3; 59; 1; 28; 29; 30; 20210529185251
