"id","Cal. R (610nm)","Cal. S (680nm)","Cal. T (730nm)","Cal. U (760nm)","Cal. V (810nm)","Cal. W (860nm)","Cal. G (560nm)","Cal. H (585nm)","Cal. I (645nm)","Cal. J (705nm)","Cal. K (900nm)","Cal. L (940nm)","Cal. A (410nm)","Cal. B (435nm)","Cal. C (460nm)","Cal. D (485nm)","Cal. E (510nm)","Cal. F (535nm)","label"
16,7.3,22.4,53.8,10,4.2,9.7,3,2.8,8.7,10.9,4.7,2.7,1,1.9,3.6,2.8,3.2,3.5,"21202"
16,7.3,23.4,52.7,10,4.2,9.7,3,2.8,9.5,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
16,7.3,23.4,55,10,4.2,9.7,2.5,2.8,8.4,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,4.2,"21200"
16,7.3,23.4,56.1,10,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,3.6,2.8,4,3.5,"21210"
16,7.3,23.4,59.6,11,4.2,9.7,3,3.3,9.5,11.3,5.3,2.7,1,1.9,3.6,2.8,4,4.2,"sadio"
16,8.7,22.4,60.7,10,4.2,9.7,2.5,2.8,8.7,10.9,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21201"
16,8.7,23.4,55,10,4.2,9.7,3,2.8,9.1,10.9,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
16,8.7,23.4,55,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
16,8.7,25.6,57.3,11,4.2,10.9,3.5,3.3,9.1,12.1,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
16,13.1,35.2,88.2,14.9,6.2,13.3,4.5,4.7,13.9,16.1,6.4,3.7,1.9,3.9,7.2,4.7,7.2,7.7,"giberela"
17,7.3,20.3,52.7,9,4.2,9.7,3,2.8,8.4,10.1,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
17,7.3,21.3,56.1,10,4.2,9.7,3,2.8,8.4,10.9,4.7,2.7,1,1.9,3.6,1.9,3.2,3.5,"21227"
17,7.3,22.4,52.7,10,4.2,9.7,3,2.8,8.7,10.9,4.7,2.7,1,1.9,3.6,2.8,3.2,3.5,"21202"
17,7.3,22.4,53.8,10,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,3.6,2.8,3.2,3.5,"21210"
17,7.3,23.4,52.7,10,4.2,9.7,3,2.8,9.5,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
17,7.3,23.4,55,10,4.2,9.7,2.5,2.8,8.4,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,4.2,"21200"
17,7.3,23.4,55,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
17,7.3,23.4,59.6,11,4.2,9.7,3,3.3,9.5,11.3,5.3,2.7,1,1.9,3.6,2.8,4,4.2,"sadio"
17,8.7,22.4,59.6,10,4.2,9.7,3,2.8,8.7,10.9,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21201"
17,8.7,23.4,55,10,4.2,9.7,3,2.8,9.1,10.9,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
17,8.7,25.6,57.3,10,4.2,10.9,3.5,3.3,9.1,12.5,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
17,13.1,35.2,88.2,14.9,6.2,13.3,4.5,4.7,13.9,16.1,6.4,3.7,1.9,3.9,7.2,4.7,7.2,7.7,"giberela"
18,7.3,21.3,52.7,9,4.2,9.7,3,2.8,8.4,10.1,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
18,7.3,21.3,52.7,10,4.2,9.7,3,2.8,8.7,10.9,4.7,2.7,1,1.9,3.6,2.8,3.2,3.5,"21202"
18,7.3,22.4,51.5,10,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,3.6,2.8,3.2,3.5,"21210"
18,7.3,22.4,56.1,10,4.2,9.7,3,2.8,8.4,10.9,4.7,2.7,1,1.9,3.6,1.9,3.2,3.5,"21227"
18,7.3,23.4,52.7,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
18,7.3,23.4,53.8,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
18,7.3,23.4,58.4,11,4.2,9.7,3,3.3,9.5,11.3,5.3,2.7,1,1.9,3.6,2.8,4,3.5,"sadio"
18,8.7,22.4,53.8,10,4.2,9.7,3,2.8,9.1,10.9,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
18,8.7,22.4,59.6,10,4.2,9.7,3,2.8,8.7,10.9,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21201"
18,8.7,23.4,53.8,10,4.2,9.7,2.5,2.8,8.4,10.9,4.7,2.7,1,1.9,5.4,2.8,3.2,4.2,"21200"
18,8.7,25.6,57.3,10,4.2,10.9,3.5,3.3,9.1,12.5,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
18,13.1,35.2,88.2,14.9,6.2,13.3,4.5,4.7,13.9,16.1,6.4,3.7,1.9,3.9,7.2,4.7,7.2,7.7,"giberela"
19,7.3,21.3,52.7,9,4.2,9.7,3,2.8,8.4,10.1,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
19,7.3,21.3,53.8,10,4.2,9.7,3,2.8,8.7,10.9,4.7,2.7,1,1.9,3.6,2.8,3.2,3.5,"21202"
19,7.3,22.4,51.5,9,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,4.5,2.8,3.2,3.5,"21210"
19,7.3,22.4,53.8,10,4.2,9.7,3,3.3,9.1,10.9,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
19,7.3,22.4,56.1,10,4.2,9.7,2.5,2.8,8.4,10.9,5.3,2.7,1,1.9,3.6,1.9,3.2,3.5,"21227"
19,7.3,23.4,53.8,10,4.2,9.7,3,3.3,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
19,7.3,23.4,55,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
19,7.3,23.4,59.6,11,4.2,9.7,3,3.3,9.5,11.3,5.3,2.7,1,1.9,3.6,2.8,4,3.5,"sadio"
19,8.7,22.4,58.4,10,4.2,9.7,3,2.8,8.7,10.9,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21201"
19,8.7,23.4,53.8,10,4.2,9.7,2.5,2.8,8.4,10.9,4.7,2.7,1,1.9,5.4,2.8,3.2,4.2,"21200"
19,8.7,25.6,58.4,11,4.2,10.9,3.5,3.3,9.1,12.5,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
19,13.1,34.1,88.2,14.9,6.2,13.3,4.5,4.7,13.9,15.7,6.4,3.7,1.9,3.9,7.2,4.7,7.2,7.7,"giberela"
20,7.3,21.3,53.8,10,4.2,9.7,3,2.8,8,10.5,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
20,7.3,21.3,53.8,10,4.2,9.7,3,2.8,8.7,10.9,4.7,2.7,1,1.9,3.6,2.8,3.2,3.5,"21202"
20,7.3,22.4,50.4,9,4.2,9.7,3,2.8,8.7,10.9,5.3,2.7,1,1.9,4.5,2.8,3.2,3.5,"21210"
20,7.3,22.4,53.8,10,4.2,9.7,3,3.3,9.1,10.9,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
20,7.3,22.4,56.1,10,4.2,9.7,2.5,2.8,8.4,10.9,4.7,2.7,1,1.9,3.6,1.9,3.2,3.5,"21227"
20,7.3,23.4,59.6,11,4.2,9.7,3,3.3,9.5,11.3,5.3,2.7,1,1.9,3.6,2.8,3.2,3.5,"sadio"
20,8.7,22.4,58.4,10,4.2,9.7,3,2.8,8.7,10.9,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21201"
20,8.7,23.4,53.8,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
20,8.7,23.4,55,10,4.2,9.7,2.5,2.8,8.4,10.9,4.7,2.7,1,1.9,5.4,2.8,3.2,4.2,"21200"
20,8.7,23.4,55,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
20,8.7,25.6,58.4,11,4.2,10.9,3.5,3.3,9.1,12.5,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
20,13.1,34.1,87,14.9,6.2,12.1,4.5,4.7,14.3,15.7,6.4,3.7,1.9,3.9,7.2,4.7,7.2,7.7,"giberela"
21,7.3,21.3,53.8,10,4.2,9.7,3,2.8,8.7,10.9,4.7,2.7,1,1.9,3.6,2.8,3.2,3.5,"21202"
21,7.3,22.4,50.4,9,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,4.5,2.8,3.2,3.5,"21210"
21,7.3,22.4,53.8,10,4.2,9.7,3,2.8,8,10.5,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
21,7.3,22.4,53.8,10,4.2,9.7,3,3.3,9.1,10.9,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
21,7.3,22.4,56.1,10,4.2,9.7,2.5,2.8,8.4,10.9,4.7,2.7,1,1.9,4.5,1.9,3.2,3.5,"21227"
21,7.3,23.4,59.6,11,4.2,9.7,3,3.3,9.5,11.3,5.3,2.7,1,1.9,3.6,2.8,3.2,3.5,"sadio"
21,8.7,22.4,55,10,4.2,9.7,2.5,2.8,8.4,10.9,4.7,2.7,1,1.9,5.4,2.8,3.2,4.2,"21200"
21,8.7,22.4,58.4,10,4.2,9.7,3,2.8,8.7,10.9,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21201"
21,8.7,23.4,55,10,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
21,8.7,24.5,55,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
21,8.7,25.6,60.7,11,4.2,10.9,3,3.3,9.1,12.5,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
21,13.1,33,85.9,13.9,6.2,12.1,4.5,4.7,14.3,15.7,6.4,3.7,1.9,3.9,7.2,4.7,7.2,7,"giberela"
22,7.3,21.3,52.7,10,4.2,9.7,3,2.8,8.7,10.9,4.7,2.7,1,1.9,3.6,2.8,3.2,3.5,"21202"
22,7.3,22.4,50.4,9,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,4.5,2.8,3.2,3.5,"21210"
22,7.3,22.4,53.8,10,4.2,9.7,3,2.8,8,10.5,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
22,7.3,22.4,53.8,10,4.2,9.7,3,3.3,9.1,10.9,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
22,7.3,22.4,55,10,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,4.5,1.9,3.2,3.5,"21227"
22,7.3,23.4,58.4,11,4.2,9.7,3,3.3,9.5,10.9,4.7,2.7,1,1.9,3.6,2.8,3.2,4.2,"sadio"
22,8.7,22.4,55,10,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,5.4,2.8,3.2,4.2,"21200"
22,8.7,22.4,57.3,10,4.2,9.7,3,2.8,8.7,10.9,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21201"
22,8.7,23.4,52.7,10,4.2,9.7,3,3.3,8.7,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
22,8.7,24.5,55,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
22,8.7,26.6,61.8,11,4.2,9.7,3,2.8,9.1,12.1,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
22,13.1,33,84.7,13.9,6.2,12.1,4.5,4.7,14.3,15.3,6.4,3.7,1.9,3.9,7.2,4.7,7.2,7,"giberela"
23,7.3,21.3,52.7,10,4.2,9.7,3,2.8,8,10.5,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
23,7.3,21.3,52.7,10,4.2,9.7,3,2.8,8.7,10.9,4.7,2.7,1,1.9,3.6,2.8,3.2,3.5,"21202"
23,7.3,22.4,50.4,9,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,4.5,2.8,3.2,3.5,"21210"
23,7.3,22.4,53.8,10,4.2,9.7,3,3.3,9.1,10.9,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
23,7.3,22.4,55,10,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,4.5,1.9,3.2,3.5,"21227"
23,7.3,22.4,59.6,11,4.2,9.7,3,3.3,9.5,10.9,4.7,2.7,1,1.9,3.6,2.8,3.2,4.2,"sadio"
23,8.7,22.4,56.1,10,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,5.4,1.9,3.2,4.2,"21200"
23,8.7,22.4,56.1,10,4.2,9.7,3,2.8,8.7,10.9,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21201"
23,8.7,23.4,52.7,10,4.2,9.7,3,3.3,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
23,8.7,24.5,55,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
23,8.7,26.6,64.1,11,4.2,9.7,3,2.8,9.1,12.1,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
23,13.1,33,84.7,13.9,6.2,12.1,4.5,4.7,13.9,14.9,6.4,3.7,1.9,3.9,7.2,4.7,7.2,7,"giberela"
24,7.3,21.3,52.7,10,4.2,9.7,3,2.8,8,10.5,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
24,7.3,21.3,52.7,10,4.2,9.7,3,2.8,8.7,10.9,4.7,2.7,1,1.9,3.6,2.8,3.2,3.5,"21202"
24,7.3,22.4,51.5,10,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,4.5,2.8,3.2,3.5,"21210"
24,7.3,22.4,55,10,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,4.5,1.9,3.2,3.5,"21227"
24,7.3,22.4,59.6,11,4.2,9.7,3,3.3,9.5,10.9,4.7,2.7,1,1.9,3.6,2.8,3.2,4.2,"sadio"
24,7.3,23.4,56.1,10,4.2,9.7,3,3.3,9.1,11.3,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
24,8.7,22.4,56.1,10,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,4.5,1.9,3.2,4.2,"21200"
24,8.7,22.4,56.1,10,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21201"
24,8.7,23.4,52.7,10,4.2,9.7,3,3.3,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
24,8.7,24.5,56.1,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
24,8.7,26.6,64.1,11,4.2,9.7,3,2.8,8.7,12.1,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
24,13.1,33,84.7,13.9,6.2,12.1,4.5,4.7,13.9,14.9,6.4,3.7,1.9,3.9,7.2,4.7,7.2,7,"giberela"
25,7.3,21.3,52.7,10,4.2,9.7,3,2.8,8,10.5,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
25,7.3,21.3,52.7,10,4.2,9.7,3,2.8,8.7,10.9,4.7,2.7,1,1.9,3.6,2.8,3.2,3.5,"21202"
25,7.3,22.4,51.5,10,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,4.5,2.8,3.2,3.5,"21210"
25,7.3,22.4,55,10,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,4.5,1.9,3.2,3.5,"21227"
25,7.3,22.4,59.6,11,4.2,9.7,3,3.3,9.1,10.9,4.7,2.7,1,1.9,3.6,2.8,3.2,4.2,"sadio"
25,7.3,23.4,56.1,10,4.2,9.7,3,3.3,8.7,11.3,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
25,8.7,22.4,56.1,10,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21201"
25,8.7,22.4,57.3,10,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,4.5,1.9,3.2,4.2,"21200"
25,8.7,23.4,52.7,10,4.2,9.7,3,3.3,9.1,11.3,5.3,2.7,1,1.9,5.4,2.8,4,4.2,"21199"
25,8.7,24.5,56.1,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
25,8.7,26.6,65.3,11,4.2,9.7,3,2.8,8.7,12.1,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
25,13.1,33,84.7,13.9,6.2,12.1,4.5,4.7,13.9,14.9,6.4,3.7,1.9,3.9,7.2,4.7,7.2,7,"giberela"
26,7.3,21.3,52.7,9,4.2,9.7,3,2.8,8,10.5,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
26,7.3,22.4,52.7,10,4.2,9.7,3,2.8,8.7,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,3.5,"21202"
26,7.3,22.4,55,10,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,4.5,1.9,3.2,3.5,"21227"
26,7.3,22.4,57.3,10,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,4.5,1.9,3.2,4.2,"21200"
26,7.3,22.4,58.4,11,4.2,9.7,3,3.3,9.5,10.9,4.7,2.7,1,1.9,3.6,2.8,3.2,4.2,"sadio"
26,7.3,23.4,51.5,10,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,4.5,1.9,3.2,3.5,"21210"
26,7.3,23.4,56.1,10,4.2,9.7,3,3.3,8.7,11.3,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
26,8.7,22.4,55,10,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21201"
26,8.7,23.4,52.7,10,4.2,9.7,3,3.3,9.1,11.3,5.3,2.7,1,1.9,5.4,2.8,4,4.2,"21199"
26,8.7,24.5,56.1,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
26,8.7,25.6,66.4,11,4.2,9.7,3,2.8,8.4,12.1,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
26,13.1,33,85.9,13.9,6.2,12.1,4.5,4.7,13.9,14.9,6.4,3.7,1.9,3.9,7.2,4.7,7.2,7,"giberela"
27,7.3,22.4,52.7,10,4.2,9.7,3,2.8,8.7,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,3.5,"21202"
27,7.3,22.4,55,10,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,4.5,1.9,3.2,3.5,"21227"
27,7.3,22.4,57.3,10,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,4.5,1.9,3.2,3.5,"21200"
27,7.3,23.4,52.7,10,4.2,9.7,3,2.8,8.4,11.3,4.7,2.7,1,1.9,4.5,2.8,3.2,3.5,"21210"
27,7.3,23.4,56.1,10,4.2,9.7,3,3.3,8.7,11.3,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
27,7.3,23.4,59.6,11,4.2,9.7,3,3.3,9.5,10.9,4.7,2.7,1,1.9,3.6,2.8,3.2,4.2,"sadio"
27,8.7,21.3,52.7,9,4.2,9.7,3,2.8,8,10.5,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
27,8.7,22.4,56.1,10,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21201"
27,8.7,23.4,53.8,10,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,5.4,2.8,4,4.2,"21199"
27,8.7,24.5,55,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
27,8.7,25.6,66.4,11.9,4.2,9.7,3,2.8,8.4,12.1,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
27,13.1,33,85.9,13.9,6.2,12.1,4.5,4.7,13.9,14.9,6.4,3.7,1.9,3.9,7.2,4.7,7.2,7,"giberela"
28,7.3,22.4,52.7,10,4.2,9.7,3,2.8,8.7,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,3.5,"21202"
28,7.3,22.4,56.1,10,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,4.5,1.9,3.2,3.5,"21227"
28,7.3,23.4,52.7,10,4.2,9.7,3,2.8,8.4,11.3,5.3,2.7,1,1.9,4.5,1.9,3.2,3.5,"21210"
28,7.3,23.4,55,10,4.2,9.7,3,3.3,8.7,11.3,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
28,7.3,23.4,59.6,11,4.2,9.7,3,3.3,9.5,11.3,5.3,2.7,1,1.9,3.6,2.8,4,3.5,"sadio"
28,8.7,21.3,52.7,10,4.2,9.7,3,2.8,8,10.5,4.7,2.7,1,1.9,5.4,2.8,4,4.2,"21198"
28,8.7,22.4,57.3,10,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,3.5,"21200"
28,8.7,23.4,56.1,10,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21201"
28,8.7,24.5,55,10,4.2,9.7,3,2.8,8.4,11.3,5.3,2.7,1,1.9,5.4,2.8,4,4.2,"21199"
28,8.7,24.5,55,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
28,8.7,25.6,67.6,11.9,4.2,9.7,3,2.8,8.4,12.1,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
28,13.1,33,85.9,13.9,6.2,12.1,4.5,4.7,13.9,14.9,6.4,3.7,1.9,3.9,7.2,4.7,7.2,7,"giberela"
29,7.3,21.3,51.5,9,4.2,9.7,3,2.8,8.7,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,3.5,"21202"
29,7.3,22.4,53.8,10,4.2,9.7,3,2.8,7.6,10.5,4.7,2.7,1,1.9,5.4,2.8,4,4.2,"21198"
29,7.3,22.4,56.1,10,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,4.5,1.9,3.2,3.5,"21227"
29,7.3,23.4,52.7,10,4.2,9.7,3,2.8,8.4,11.3,4.7,2.7,1,1.9,4.5,1.9,3.2,3.5,"21210"
29,7.3,23.4,55,10,4.2,9.7,3,3.3,8.7,11.3,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
29,7.3,23.4,60.7,11,4.2,9.7,3.5,3.3,9.5,11.3,5.3,2.7,1,1.9,3.6,2.8,4,3.5,"sadio"
29,8.7,22.4,58.4,10,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,3.5,"21200"
29,8.7,23.4,56.1,10,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21201"
29,8.7,24.5,55,10,4.2,9.7,3,2.8,8.4,11.3,5.3,2.7,1,1.9,5.4,2.8,4,4.2,"21199"
29,8.7,24.5,55,10,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
29,8.7,25.6,67.6,11.9,4.2,9.7,3,2.8,8,12.1,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
29,13.1,33,85.9,13.9,6.2,12.1,4.5,4.7,13.9,14.9,6.4,3.7,1.9,3.9,7.2,4.7,7.2,7,"giberela"
30,7.3,21.3,51.5,9,4.2,9.7,3,2.8,8.7,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,3.5,"21202"
30,7.3,22.4,53.8,10,4.2,9.7,3,2.8,7.6,10.5,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
30,7.3,22.4,56.1,10,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,4.5,1.9,3.2,3.5,"21227"
30,7.3,22.4,58.4,10,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,3.5,"21200"
30,7.3,23.4,52.7,10,4.2,9.7,3,2.8,8.4,11.7,4.7,2.7,1,1.9,4.5,1.9,3.2,3.5,"21210"
30,7.3,23.4,55,10,4.2,9.7,3,3.3,8.7,11.3,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
30,7.3,23.4,60.7,11,4.2,9.7,3.5,3.3,9.5,11.3,5.3,2.7,1,1.9,3.6,2.8,4,3.5,"sadio"
30,8.7,23.4,57.3,10,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21201"
30,8.7,24.5,56.1,10,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
30,8.7,24.5,57.3,11,4.2,9.7,3,2.8,8.4,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
30,8.7,25.6,67.6,11.9,4.2,9.7,3,2.8,8,12.1,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
30,13.1,33,85.9,13.9,6.2,12.1,4.5,4.7,13.9,15.3,6.4,3.7,1.9,3.9,7.2,4.7,7.2,7,"giberela"
31,7.3,21.3,51.5,9,4.2,9.7,3,2.8,8.7,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,3.5,"21202"
31,7.3,22.4,56.1,10,4.2,9.7,2.5,2.8,7.6,10.9,4.7,2.7,1,1.9,4.5,1.9,3.2,3.5,"21227"
31,7.3,22.4,56.1,10,4.2,9.7,3,2.8,7.6,10.5,4.7,2.7,1,1.9,4.5,1.9,4,4.2,"21198"
31,7.3,22.4,58.4,10,4.2,9.7,2.5,2.8,8,10.9,5.3,2.7,1,1.9,4.5,1.9,3.2,3.5,"21200"
31,7.3,23.4,52.7,10,4.2,9.7,3,2.8,8.4,11.3,4.7,2.7,1,1.9,4.5,1.9,3.2,3.5,"21210"
31,7.3,23.4,53.8,10,4.2,9.7,3,2.8,8.7,11.3,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
31,7.3,23.4,59.6,11,4.2,9.7,3.5,3.3,9.5,11.3,5.3,2.7,1,1.9,3.6,2.8,4,3.5,"sadio"
31,8.7,23.4,58.4,11,4.2,9.7,3,2.8,8.4,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21201"
31,8.7,24.5,56.1,10,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
31,8.7,24.5,59.6,11,4.2,9.7,3,2.8,8,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
31,8.7,25.6,67.6,11.9,4.2,9.7,3,2.8,8,12.1,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
31,11.7,34.1,84.7,14.9,6.2,13.3,4.5,4.7,14.3,16.1,6.4,3.7,1.9,3.9,7.2,4.7,7.2,7,"giberela"
32,7.3,21.3,50.4,9,4.2,9.7,3,2.8,8.7,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,3.5,"21202"
