Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
1; 10; 37; 79; 17; 7; 13; 10; 10; 36; 44; 14; 5; 2; 4; 10; 6; 9; 11; 14.6; 39.4; 90.5; 16.9; 7.3; 15.7; 5.0; 4.7; 14.3; 17.7; 8.2; 4.6; 1.9; 3.9; 9.0; 5.6; 7.2; 7.7; 59; 1; 28; 30; 29; 20210529184814
2; 10; 37; 79; 17; 7; 13; 10; 10; 36; 44; 14; 5; 2; 4; 10; 6; 9; 11; 14.6; 39.4; 90.5; 16.9; 7.3; 15.7; 5.0; 4.7; 14.3; 17.7; 8.2; 4.6; 1.9; 3.9; 9.0; 5.6; 7.2; 7.7; 59; 1; 28; 29; 29; 20210529184821
3; 10; 37; 79; 17; 7; 13; 10; 10; 36; 44; 14; 5; 2; 4; 10; 6; 9; 11; 14.6; 39.4; 90.5; 16.9; 7.3; 15.7; 5.0; 4.7; 14.3; 17.7; 8.2; 4.6; 1.9; 3.9; 9.0; 5.6; 7.2; 7.7; 59; 1; 28; 29; 29; 20210529184821
4; 10; 37; 79; 17; 7; 13; 10; 10; 36; 44; 14; 5; 2; 4; 10; 6; 9; 11; 14.6; 39.4; 90.5; 16.9; 7.3; 15.7; 5.0; 4.7; 14.3; 17.7; 8.2; 4.6; 1.9; 3.9; 9.0; 5.6; 7.2; 7.7; 59; 1; 28; 29; 29; 20210529184822
5; 10; 37; 79; 17; 7; 13; 10; 10; 36; 44; 14; 5; 2; 4; 10; 6; 9; 11; 14.6; 39.4; 90.5; 16.9; 7.3; 15.7; 5.0; 4.7; 14.3; 17.7; 8.2; 4.6; 1.9; 3.9; 9.0; 5.6; 7.2; 7.7; 59; 1; 28; 29; 29; 20210529184822
6; 10; 37; 79; 17; 7; 13; 10; 10; 36; 45; 14; 5; 2; 4; 10; 6; 9; 11; 14.6; 39.4; 90.5; 16.9; 7.3; 15.7; 5.0; 4.7; 14.3; 18.1; 8.2; 4.6; 1.9; 3.9; 9.0; 5.6; 7.2; 7.7; 59; 1; 28; 29; 29; 20210529184823
7; 10; 37; 76; 16; 7; 13; 9; 10; 35; 42; 14; 5; 2; 4; 10; 5; 9; 10; 14.6; 39.4; 87.0; 15.9; 7.3; 15.7; 5.0; 4.7; 13.9; 18.1; 8.2; 4.6; 1.9; 3.9; 9.0; 5.6; 7.2; 7.7; 59; 1; 28; 29; 29; 20210529184823
8; 10; 37; 75; 16; 6; 13; 10; 10; 34; 43; 14; 5; 2; 4; 9; 5; 9; 10; 14.6; 39.4; 85.9; 15.9; 6.2; 15.7; 5.0; 4.7; 13.5; 17.3; 8.2; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.0; 59; 1; 28; 30; 29; 20210529184824
9; 10; 37; 75; 16; 6; 13; 10; 10; 34; 43; 14; 5; 2; 4; 9; 5; 9; 10; 14.6; 39.4; 85.9; 15.9; 6.2; 15.7; 5.0; 4.7; 13.5; 17.3; 8.2; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.0; 59; 1; 28; 29; 29; 20210529184824
10; 10; 36; 75; 16; 6; 13; 10; 10; 34; 43; 14; 5; 2; 4; 9; 5; 9; 10; 14.6; 39.4; 85.9; 15.9; 6.2; 15.7; 5.0; 4.7; 13.5; 17.3; 8.2; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.0; 59; 1; 28; 30; 29; 20210529184825
