Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
1; 11; 36; 83; 17; 7; 14; 10; 10; 37; 43; 15; 5; 2; 4; 10; 6; 9; 12; 16.0; 38.4; 95.1; 16.9; 7.3; 16.9; 5.0; 4.7; 14.7; 17.3; 8.8; 4.6; 1.9; 3.9; 9.0; 5.6; 7.2; 8.4; 59; 1; 28; 29; 29; 20210529190428
2; 11; 36; 83; 17; 7; 14; 10; 10; 37; 43; 15; 5; 2; 4; 10; 6; 9; 12; 16.0; 38.4; 95.1; 16.9; 7.3; 16.9; 5.0; 4.7; 14.7; 17.3; 8.8; 4.6; 1.9; 3.9; 9.0; 5.6; 7.2; 8.4; 59; 1; 29; 30; 29; 20210529190431
3; 11; 36; 83; 17; 7; 14; 10; 10; 37; 43; 15; 5; 2; 4; 10; 6; 9; 12; 16.0; 38.4; 95.1; 16.9; 7.3; 16.9; 5.0; 4.7; 14.7; 17.3; 8.8; 4.6; 1.9; 3.9; 9.0; 5.6; 7.2; 8.4; 59; 1; 29; 29; 29; 20210529190431
4; 11; 36; 83; 17; 7; 14; 10; 10; 37; 43; 15; 5; 2; 4; 10; 6; 9; 12; 16.0; 38.4; 95.1; 16.9; 7.3; 16.9; 5.0; 4.7; 14.7; 17.3; 8.8; 4.6; 1.9; 3.9; 9.0; 5.6; 7.2; 8.4; 59; 1; 28; 30; 29; 20210529190432
5; 11; 37; 73; 16; 7; 13; 10; 11; 38; 41; 15; 5; 2; 4; 9; 5; 9; 11; 16.0; 37.3; 98.5; 16.9; 7.3; 15.7; 4.5; 4.2; 14.3; 16.5; 8.8; 4.6; 1.9; 3.9; 9.0; 4.7; 7.2; 7.7; 59; 1; 28; 30; 29; 20210529190432
6; 10; 38; 80; 17; 7; 14; 10; 10; 34; 45; 15; 5; 2; 4; 9; 5; 8; 11; 14.6; 39.4; 95.1; 16.9; 7.3; 16.9; 5.0; 4.7; 15.1; 18.1; 8.8; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.7; 59; 1; 29; 29; 29; 20210529190433
7; 11; 37; 88; 17; 6; 13; 9; 9; 36; 41; 15; 5; 2; 4; 9; 5; 9; 11; 14.6; 39.4; 82.5; 15.9; 6.2; 16.9; 5.0; 4.7; 14.3; 18.1; 8.8; 4.6; 1.9; 2.9; 8.1; 4.7; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529190433
8; 11; 35; 86; 17; 7; 13; 9; 10; 33; 41; 15; 5; 2; 4; 10; 5; 9; 11; 16.0; 37.3; 98.5; 16.9; 7.3; 15.7; 4.5; 4.7; 13.1; 16.5; 8.8; 4.6; 1.9; 3.9; 9.0; 4.7; 7.2; 7.7; 59; 1; 28; 29; 30; 20210529190434
9; 10; 35; 80; 16; 7; 13; 9; 9; 32; 45; 14; 5; 2; 4; 9; 6; 8; 11; 14.6; 37.3; 80.2; 15.9; 7.3; 15.7; 5.0; 4.7; 12.3; 18.1; 8.2; 4.6; 1.9; 3.9; 8.1; 5.6; 6.4; 7.7; 59; 1; 29; 30; 29; 20210529190434
10; 10; 37; 83; 17; 7; 13; 9; 10; 35; 43; 15; 5; 2; 4; 9; 5; 9; 11; 14.6; 39.4; 95.1; 16.9; 7.3; 15.7; 4.5; 4.7; 13.9; 17.3; 8.8; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.7; 59; 1; 29; 30; 29; 20210529190435
11; 10; 37; 85; 17; 6; 13; 9; 9; 35; 40; 14; 5; 2; 4; 9; 5; 8; 10; 14.6; 39.4; 97.3; 16.9; 6.2; 15.7; 4.5; 4.2; 13.9; 16.1; 8.2; 4.6; 1.9; 3.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 29; 30; 29; 20210529190435
12; 11; 37; 77; 16; 7; 13; 10; 10; 33; 41; 14; 5; 2; 3; 9; 5; 9; 11; 16.0; 39.4; 95.1; 16.9; 7.3; 15.7; 4.5; 4.2; 13.5; 16.5; 8.8; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.7; 59; 1; 29; 30; 29; 20210529190436
13; 11; 37; 82; 17; 7; 13; 10; 10; 32; 43; 15; 5; 2; 4; 10; 5; 9; 11; 16.0; 39.4; 93.9; 16.9; 7.3; 15.7; 5.0; 4.7; 12.7; 17.3; 8.8; 4.6; 1.9; 3.9; 9.0; 4.7; 7.2; 7.7; 59; 1; 29; 30; 30; 20210529190436
14; 11; 37; 83; 17; 7; 13; 10; 10; 32; 44; 15; 5; 2; 4; 10; 5; 9; 11; 16.0; 39.4; 95.1; 16.9; 7.3; 15.7; 5.0; 4.7; 12.7; 17.7; 8.8; 4.6; 1.9; 3.9; 9.0; 4.7; 7.2; 7.7; 59; 1; 28; 29; 29; 20210529190437
15; 10; 37; 68; 16; 6; 13; 11; 11; 36; 44; 14; 5; 2; 3; 8; 5; 8; 11; 14.6; 39.4; 95.1; 16.9; 7.3; 15.7; 5.0; 4.7; 12.7; 17.7; 8.8; 4.6; 1.9; 3.9; 9.0; 4.7; 7.2; 7.7; 59; 1; 29; 29; 29; 20210529190437
