Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
10; 5; 22; 49; 10; 4; 8; 6; 6; 22; 28; 8; 3; 1; 2; 5; 3; 5; 6; 7.3; 23.4; 56.1; 10.0; 4.2; 9.7; 3.0; 2.8; 8.7; 11.3; 4.7; 2.7; 1.0; 1.9; 4.5; 2.8; 4.0; 4.2; 59; 1; 27; 29; 28; 20210428211828
11; 5; 22; 49; 10; 4; 8; 6; 6; 22; 28; 8; 3; 1; 2; 5; 3; 5; 6; 7.3; 23.4; 56.1; 10.0; 4.2; 9.7; 3.0; 2.8; 8.7; 11.3; 4.7; 2.7; 1.0; 1.9; 4.5; 2.8; 4.0; 4.2; 59; 1; 28; 29; 28; 20210428211829
12; 5; 22; 50; 10; 4; 8; 6; 6; 22; 28; 8; 3; 1; 2; 5; 3; 5; 6; 7.3; 23.4; 57.3; 10.0; 4.2; 9.7; 3.0; 2.8; 8.7; 11.3; 4.7; 2.7; 1.0; 1.9; 4.5; 2.8; 4.0; 4.2; 59; 1; 27; 29; 28; 20210428211829
13; 5; 22; 49; 10; 4; 8; 6; 7; 22; 28; 8; 3; 1; 2; 5; 3; 5; 6; 7.3; 23.4; 57.3; 10.0; 4.2; 9.7; 3.0; 2.8; 8.7; 11.3; 4.7; 2.7; 1.0; 1.9; 4.5; 2.8; 4.0; 4.2; 59; 1; 28; 29; 28; 20210428211830
14; 5; 22; 49; 10; 4; 8; 6; 7; 22; 28; 8; 3; 1; 2; 5; 3; 5; 6; 7.3; 23.4; 56.1; 10.0; 4.2; 9.7; 3.0; 3.3; 8.7; 11.3; 4.7; 2.7; 1.0; 1.9; 4.5; 2.8; 4.0; 4.2; 59; 1; 28; 29; 28; 20210428211830
15; 5; 22; 49; 10; 4; 8; 6; 7; 22; 28; 8; 3; 1; 2; 5; 3; 5; 6; 7.3; 23.4; 56.1; 10.0; 4.2; 9.7; 3.0; 3.3; 8.7; 11.3; 4.7; 2.7; 1.0; 1.9; 4.5; 2.8; 4.0; 4.2; 59; 1; 27; 28; 28; 20210428211831
16; 5; 22; 48; 10; 4; 8; 6; 7; 23; 28; 8; 3; 1; 2; 5; 3; 5; 6; 7.3; 23.4; 55.0; 10.0; 4.2; 9.7; 3.0; 3.3; 8.7; 11.3; 4.7; 2.7; 1.0; 1.9; 4.5; 2.8; 4.0; 4.2; 59; 1; 27; 29; 28; 20210428211831
17; 5; 22; 48; 10; 4; 8; 6; 7; 23; 28; 8; 3; 1; 2; 5; 3; 5; 6; 7.3; 23.4; 55.0; 10.0; 4.2; 9.7; 3.0; 3.3; 9.1; 11.3; 4.7; 2.7; 1.0; 1.9; 4.5; 2.8; 4.0; 4.2; 59; 1; 27; 29; 28; 20210428211831
18; 5; 22; 49; 10; 4; 8; 6; 7; 23; 28; 8; 3; 1; 2; 5; 3; 5; 6; 7.3; 23.4; 55.0; 10.0; 4.2; 9.7; 3.0; 3.3; 9.1; 11.3; 4.7; 2.7; 1.0; 1.9; 4.5; 2.8; 4.0; 4.2; 59; 1; 28; 29; 28; 20210428211832
19; 5; 22; 48; 10; 4; 8; 6; 6; 23; 27; 8; 3; 1; 2; 5; 3; 5; 6; 7.3; 23.4; 56.1; 10.0; 4.2; 9.7; 3.0; 3.3; 9.1; 10.9; 4.7; 2.7; 1.0; 1.9; 4.5; 2.8; 4.0; 4.2; 59; 1; 27; 29; 28; 20210428211832
20; 6; 22; 48; 10; 4; 8; 6; 6; 23; 27; 9; 3; 1; 2; 5; 3; 5; 6; 8.7; 23.4; 55.0; 10.0; 4.2; 9.7; 3.0; 2.8; 9.1; 10.9; 4.7; 2.7; 1.0; 1.9; 4.5; 2.8; 4.0; 4.2; 59; 1; 27; 29; 28; 20210428211833
21; 6; 22; 48; 10; 4; 8; 6; 6; 23; 27; 9; 3; 1; 2; 5; 3; 5; 6; 8.7; 23.4; 55.0; 10.0; 4.2; 9.7; 3.0; 2.8; 9.1; 10.9; 5.3; 2.7; 1.0; 1.9; 4.5; 2.8; 4.0; 4.2; 59; 1; 27; 29; 28; 20210428211833
22; 6; 22; 48; 10; 4; 8; 6; 6; 23; 27; 8; 3; 1; 2; 5; 3; 5; 6; 8.7; 23.4; 55.0; 10.0; 4.2; 9.7; 3.0; 2.8; 9.1; 10.9; 4.7; 2.7; 1.0; 1.9; 4.5; 2.8; 4.0; 4.2; 59; 1; 28; 29; 28; 20210428211833
23; 6; 22; 48; 10; 4; 8; 6; 6; 23; 27; 9; 3; 1; 2; 5; 3; 5; 6; 8.7; 23.4; 55.0; 10.0; 4.2; 9.7; 3.0; 2.8; 9.1; 10.9; 5.3; 2.7; 1.0; 1.9; 4.5; 2.8; 4.0; 4.2; 59; 1; 28; 29; 28; 20210428211834
24; 6; 22; 48; 10; 4; 8; 6; 6; 23; 27; 8; 3; 1; 2; 5; 3; 5; 6; 8.7; 23.4; 56.1; 10.0; 4.2; 9.7; 3.0; 2.8; 9.1; 10.9; 4.7; 2.7; 1.0; 1.9; 4.5; 2.8; 4.0; 4.2; 59; 1; 28; 29; 28; 20210428211834
25; 6; 22; 48; 10; 4; 8; 6; 6; 23; 27; 9; 3; 1; 2; 5; 3; 5; 6; 8.7; 23.4; 55.0; 10.0; 4.2; 9.7; 3.0; 2.8; 9.1; 10.9; 5.3; 2.7; 1.0; 1.9; 4.5; 2.8; 4.0; 4.2; 59; 1; 28; 29; 28; 20210428211835
26; 6; 22; 47; 10; 4; 8; 6; 6; 23; 27; 9; 3; 1; 2; 5; 3; 5; 6; 8.7; 23.4; 55.0; 10.0; 4.2; 9.7; 3.0; 2.8; 9.1; 10.9; 5.3; 2.7; 1.0; 1.9; 4.5; 2.8; 4.0; 4.2; 59; 1; 27; 29; 29; 20210428211835
27; 5; 21; 47; 10; 4; 8; 6; 6; 23; 27; 8; 3; 1; 2; 5; 3; 5; 6; 8.7; 22.4; 53.8; 10.0; 4.2; 9.7; 3.0; 2.8; 9.1; 10.9; 4.7; 2.7; 1.0; 1.9; 4.5; 2.8; 4.0; 4.2; 59; 1; 27; 29; 28; 20210428211835
28; 5; 21; 47; 10; 4; 8; 6; 7; 23; 27; 8; 3; 1; 2; 5; 3; 5; 6; 7.3; 22.4; 53.8; 10.0; 4.2; 9.7; 3.0; 3.3; 9.1; 10.9; 4.7; 2.7; 1.0; 1.9; 4.5; 2.8; 4.0; 4.2; 59; 1; 28; 29; 28; 20210428211836
