Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
1; 11; 38; 85; 17; 7; 14; 10; 10; 37; 46; 15; 5; 2; 4; 10; 6; 9; 12; 16.0; 40.5; 97.3; 16.9; 7.3; 16.9; 5.0; 4.7; 14.7; 18.5; 8.8; 4.6; 1.9; 3.9; 9.0; 5.6; 7.2; 8.4; 59; 1; 29; 29; 29; 20210529185608
2; 11; 38; 85; 17; 7; 14; 10; 10; 37; 46; 15; 5; 2; 4; 10; 6; 9; 12; 16.0; 40.5; 97.3; 16.9; 7.3; 16.9; 5.0; 4.7; 14.7; 18.5; 8.8; 4.6; 1.9; 3.9; 9.0; 5.6; 7.2; 8.4; 59; 1; 29; 29; 29; 20210529185609
3; 11; 38; 85; 17; 7; 14; 10; 10; 37; 46; 15; 5; 2; 4; 10; 6; 9; 12; 16.0; 40.5; 97.3; 16.9; 7.3; 16.9; 5.0; 4.7; 14.7; 18.5; 8.8; 4.6; 1.9; 3.9; 9.0; 5.6; 7.2; 8.4; 59; 1; 29; 30; 29; 20210529185610
4; 11; 38; 84; 17; 7; 14; 10; 10; 37; 46; 15; 5; 2; 4; 10; 6; 9; 12; 16.0; 40.5; 97.3; 16.9; 7.3; 16.9; 5.0; 4.7; 14.7; 18.5; 8.8; 4.6; 1.9; 3.9; 9.0; 5.6; 7.2; 8.4; 59; 1; 29; 30; 29; 20210529185611
5; 10; 36; 79; 16; 7; 14; 9; 10; 38; 45; 15; 5; 2; 4; 9; 6; 9; 11; 14.6; 38.4; 90.5; 15.9; 7.3; 16.9; 4.5; 4.7; 15.1; 18.1; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.7; 59; 1; 29; 29; 29; 20210529185611
6; 11; 38; 81; 16; 7; 13; 9; 10; 37; 43; 15; 5; 2; 4; 10; 5; 10; 11; 14.6; 40.5; 89.3; 15.9; 7.3; 15.7; 4.5; 4.7; 14.7; 18.1; 8.8; 4.6; 1.9; 3.9; 9.0; 5.6; 7.9; 7.7; 59; 1; 29; 30; 29; 20210529185611
7; 11; 37; 80; 16; 7; 13; 9; 10; 39; 43; 15; 5; 2; 4; 10; 6; 9; 11; 16.0; 39.4; 91.6; 15.9; 7.3; 15.7; 4.5; 4.7; 15.5; 17.3; 8.8; 4.6; 1.9; 3.9; 9.0; 5.6; 7.2; 7.7; 59; 1; 29; 29; 29; 20210529185612
8; 11; 37; 80; 16; 7; 13; 9; 10; 39; 43; 15; 5; 2; 4; 10; 6; 9; 11; 16.0; 39.4; 91.6; 15.9; 7.3; 15.7; 4.5; 4.7; 15.5; 17.3; 8.8; 4.6; 1.9; 3.9; 9.0; 5.6; 7.2; 7.7; 59; 1; 29; 30; 29; 20210529185612
9; 10; 37; 86; 17; 7; 13; 9; 10; 35; 44; 15; 5; 2; 4; 9; 6; 9; 10; 14.6; 39.4; 98.5; 16.9; 7.3; 15.7; 4.5; 4.7; 13.9; 17.7; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 29; 29; 29; 20210529185613
10; 10; 37; 76; 16; 7; 13; 10; 10; 37; 44; 15; 5; 2; 4; 9; 5; 9; 10; 14.6; 39.4; 90.5; 15.9; 7.3; 15.7; 5.0; 5.1; 14.7; 17.7; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 28; 29; 29; 20210529185613
