Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
1; 10; 38; 83; 17; 7; 13; 10; 10; 34; 46; 14; 5; 2; 4; 9; 5; 8; 10; 14.6; 40.5; 95.1; 16.9; 7.3; 15.7; 5.0; 4.7; 13.5; 18.5; 8.2; 4.6; 1.9; 3.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 29; 29; 29; 20210529190124
2; 10; 38; 83; 17; 7; 13; 10; 10; 34; 46; 14; 5; 2; 4; 9; 5; 8; 10; 14.6; 40.5; 95.1; 16.9; 7.3; 15.7; 5.0; 4.7; 13.5; 18.5; 8.2; 4.6; 1.9; 3.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 29; 30; 29; 20210529190136
3; 10; 38; 83; 17; 7; 13; 10; 10; 34; 46; 14; 5; 2; 4; 9; 5; 8; 10; 14.6; 40.5; 95.1; 16.9; 7.3; 15.7; 5.0; 4.7; 13.5; 18.5; 8.2; 4.6; 1.9; 3.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 29; 29; 30; 20210529190137
4; 10; 38; 83; 17; 7; 13; 10; 10; 34; 46; 14; 5; 2; 4; 9; 5; 8; 10; 14.6; 40.5; 95.1; 16.9; 7.3; 15.7; 5.0; 4.7; 13.5; 18.5; 8.2; 4.6; 1.9; 3.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 29; 29; 29; 20210529190137
5; 10; 38; 83; 17; 7; 13; 10; 10; 34; 46; 14; 5; 2; 4; 9; 5; 8; 10; 14.6; 40.5; 95.1; 16.9; 7.3; 15.7; 5.0; 4.7; 13.5; 18.5; 8.2; 4.6; 1.9; 3.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 29; 30; 20210529190138
6; 9; 37; 77; 16; 7; 13; 10; 10; 34; 44; 14; 5; 2; 3; 8; 5; 8; 10; 14.6; 39.4; 92.8; 16.9; 7.3; 15.7; 5.0; 4.7; 13.5; 18.1; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 7.0; 59; 1; 28; 29; 29; 20210529190138
7; 9; 36; 73; 16; 7; 13; 10; 10; 33; 44; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 38.4; 83.6; 15.9; 7.3; 15.7; 5.0; 4.7; 13.1; 17.7; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 29; 29; 29; 20210529190138
8; 9; 36; 75; 16; 6; 13; 10; 10; 34; 43; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 39.4; 87.0; 15.9; 7.3; 15.7; 4.5; 4.7; 13.5; 17.3; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 6.3; 59; 1; 29; 30; 29; 20210529190139
9; 10; 36; 80; 16; 6; 13; 9; 9; 34; 44; 14; 5; 2; 3; 8; 5; 8; 10; 14.6; 38.4; 85.9; 15.9; 6.2; 15.7; 4.5; 4.7; 13.5; 18.1; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 7.0; 59; 1; 29; 29; 29; 20210529190139
10; 10; 37; 80; 17; 7; 13; 9; 9; 35; 45; 14; 5; 2; 3; 8; 5; 8; 10; 14.6; 39.4; 87.0; 15.9; 7.3; 15.7; 4.5; 4.7; 13.9; 17.7; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 7.0; 59; 1; 28; 30; 29; 20210529190140
11; 10; 37; 81; 17; 7; 13; 9; 9; 32; 45; 14; 5; 2; 3; 9; 5; 8; 10; 14.6; 39.4; 92.8; 16.9; 7.3; 15.7; 4.5; 4.2; 12.7; 18.1; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 29; 30; 29; 20210529190140
12; 10; 37; 81; 17; 7; 13; 9; 9; 32; 45; 14; 5; 2; 3; 9; 5; 8; 10; 14.6; 39.4; 92.8; 16.9; 7.3; 15.7; 4.5; 4.2; 12.7; 18.1; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 29; 29; 29; 20210529190141
13; 10; 37; 81; 17; 7; 13; 9; 9; 32; 45; 14; 5; 2; 3; 9; 5; 8; 10; 14.6; 39.4; 92.8; 16.9; 7.3; 15.7; 4.5; 4.2; 12.7; 18.1; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 30; 29; 20210529190141
14; 10; 37; 81; 17; 7; 13; 9; 9; 32; 45; 14; 5; 2; 3; 9; 5; 8; 10; 14.6; 39.4; 92.8; 16.9; 7.3; 15.7; 4.5; 4.2; 12.7; 18.1; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 29; 30; 29; 20210529190142
15; 10; 35; 72; 16; 6; 13; 9; 10; 35; 45; 14; 5; 2; 3; 8; 5; 8; 10; 14.6; 39.4; 92.8; 16.9; 7.3; 15.7; 4.5; 4.2; 12.7; 18.1; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 29; 29; 20210529190142
16; 9; 36; 74; 16; 7; 13; 10; 10; 35; 45; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 38.4; 84.7; 15.9; 7.3; 15.7; 5.0; 4.7; 13.9; 18.1; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 29; 29; 29; 20210529190143
17; 9; 36; 74; 16; 7; 13; 10; 10; 35; 45; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 38.4; 84.7; 15.9; 7.3; 15.7; 5.0; 4.7; 13.9; 18.1; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 29; 29; 29; 20210529190143
18; 9; 36; 78; 16; 7; 13; 9; 10; 33; 45; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 38.4; 84.7; 15.9; 7.3; 15.7; 5.0; 4.7; 13.9; 18.1; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 28; 29; 29; 20210529190144
19; 9; 36; 72; 16; 6; 13; 10; 10; 37; 43; 14; 5; 2; 3; 8; 5; 8; 10; 13.1; 38.4; 82.5; 15.9; 6.2; 15.7; 5.0; 4.7; 14.7; 17.3; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 7.0; 59; 1; 28; 29; 30; 20210529190144
20; 9; 36; 78; 16; 7; 13; 10; 10; 36; 45; 14; 5; 2; 3; 9; 5; 8; 10; 14.6; 38.4; 84.7; 15.9; 7.3; 15.7; 5.0; 4.7; 14.3; 18.1; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 29; 29; 29; 20210529190145
21; 9; 37; 78; 16; 7; 13; 10; 10; 35; 45; 14; 5; 2; 3; 9; 5; 8; 10; 13.1; 39.4; 89.3; 15.9; 7.3; 15.7; 5.0; 4.7; 13.9; 18.1; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 29; 29; 29; 20210529190145
22; 9; 37; 77; 16; 7; 13; 10; 10; 35; 45; 14; 5; 2; 3; 9; 5; 8; 10; 13.1; 39.4; 89.3; 15.9; 7.3; 15.7; 5.0; 4.7; 13.9; 18.1; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 29; 29; 30; 20210529190146
23; 10; 36; 75; 16; 7; 13; 10; 10; 35; 45; 14; 5; 2; 3; 8; 5; 8; 10; 13.1; 38.4; 84.7; 15.9; 7.3; 15.7; 5.0; 4.7; 13.9; 17.3; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 7.0; 59; 1; 29; 30; 29; 20210529190146
24; 9; 36; 78; 16; 7; 13; 9; 9; 33; 43; 14; 5; 2; 3; 9; 5; 8; 9; 14.6; 38.4; 89.3; 15.9; 7.3; 15.7; 4.5; 4.7; 13.1; 18.1; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 29; 30; 29; 20210529190147
25; 9; 36; 77; 16; 7; 13; 9; 10; 34; 44; 14; 5; 2; 3; 9; 5; 8; 9; 13.1; 38.4; 85.9; 15.9; 7.3; 15.7; 4.5; 4.7; 13.9; 17.7; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 6.3; 59; 1; 29; 29; 29; 20210529190147
26; 9; 35; 74; 16; 6; 13; 9; 10; 34; 43; 14; 5; 2; 3; 8; 5; 8; 9; 13.1; 37.3; 84.7; 15.9; 6.2; 15.7; 4.5; 4.7; 13.5; 17.3; 8.2; 4.6; 1.9; 2.9; 7.2; 4.7; 6.4; 6.3; 59; 1; 29; 29; 29; 20210529190148
