Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
18; 10; 38; 79; 17; 7; 13; 10; 10; 36; 44; 14; 5; 2; 4; 9; 6; 9; 10; 14.6; 40.5; 85.9; 15.9; 7.3; 15.7; 5.0; 5.1; 13.9; 17.7; 8.2; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 28; 30; 30; 20210529192647
19; 10; 37; 77; 17; 7; 13; 10; 11; 38; 44; 15; 5; 2; 4; 9; 6; 9; 10; 14.6; 40.5; 87.0; 15.9; 7.3; 15.7; 5.0; 5.1; 14.3; 17.7; 8.2; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529192647
20; 10; 37; 77; 17; 7; 13; 10; 11; 38; 45; 15; 5; 2; 4; 9; 6; 9; 10; 14.6; 39.4; 88.2; 16.9; 7.3; 15.7; 5.0; 5.1; 15.1; 18.1; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529192648
21; 9; 38; 72; 16; 7; 13; 10; 11; 39; 45; 15; 5; 2; 4; 9; 6; 9; 10; 13.1; 40.5; 82.5; 15.9; 7.3; 15.7; 5.0; 5.1; 15.5; 18.1; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529192648
22; 10; 37; 83; 17; 7; 13; 9; 9; 35; 45; 14; 5; 2; 4; 9; 5; 8; 10; 14.6; 39.4; 83.6; 15.9; 7.3; 15.7; 5.0; 4.7; 13.9; 18.1; 8.2; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529192649
23; 10; 37; 75; 17; 7; 13; 10; 10; 38; 45; 14; 5; 2; 4; 9; 5; 9; 10; 14.6; 39.4; 88.2; 15.9; 7.3; 15.7; 5.0; 4.7; 15.1; 17.3; 8.2; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529192649
24; 10; 38; 72; 16; 7; 13; 10; 10; 37; 44; 14; 5; 2; 4; 9; 5; 8; 10; 14.6; 40.5; 87.0; 15.9; 7.3; 15.7; 4.5; 4.7; 14.7; 18.1; 8.2; 4.6; 1.9; 3.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 29; 30; 30; 20210529192650
25; 10; 37; 76; 16; 7; 13; 10; 11; 35; 46; 14; 5; 2; 4; 9; 6; 9; 10; 14.6; 39.4; 87.0; 15.9; 7.3; 15.7; 5.0; 5.1; 13.9; 18.5; 8.2; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529192650
26; 10; 38; 82; 17; 7; 13; 10; 11; 39; 45; 15; 5; 2; 4; 9; 6; 9; 11; 14.6; 40.5; 93.9; 16.9; 7.3; 15.7; 5.0; 5.1; 15.1; 18.1; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.7; 59; 1; 29; 30; 29; 20210529192651
27; 10; 38; 82; 17; 7; 13; 10; 11; 39; 45; 15; 5; 2; 4; 9; 6; 9; 11; 14.6; 40.5; 93.9; 16.9; 7.3; 15.7; 5.0; 5.1; 15.5; 18.1; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.7; 59; 1; 29; 30; 29; 20210529192651
28; 10; 38; 76; 16; 7; 13; 10; 10; 39; 45; 15; 5; 2; 4; 9; 6; 9; 10; 14.6; 40.5; 87.0; 15.9; 7.3; 15.7; 5.0; 4.7; 15.5; 18.1; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529192652
29; 10; 38; 74; 16; 7; 13; 10; 11; 38; 46; 14; 5; 2; 4; 9; 6; 9; 10; 14.6; 40.5; 83.6; 15.9; 7.3; 15.7; 5.0; 4.7; 13.9; 18.5; 8.2; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 29; 30; 30; 20210529192652
30; 10; 37; 81; 17; 7; 13; 9; 10; 39; 42; 14; 5; 2; 4; 9; 6; 9; 10; 14.6; 39.4; 82.5; 15.9; 7.3; 15.7; 5.0; 5.1; 15.5; 17.7; 8.2; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.7; 59; 1; 29; 30; 29; 20210529192653
31; 11; 37; 84; 17; 7; 13; 10; 10; 40; 45; 15; 5; 2; 4; 9; 5; 9; 11; 16.0; 39.4; 96.2; 16.9; 7.3; 15.7; 5.0; 4.7; 15.9; 18.1; 8.8; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.7; 59; 1; 29; 30; 29; 20210529192653
32; 10; 38; 74; 16; 7; 13; 10; 11; 37; 45; 14; 5; 2; 4; 9; 6; 9; 10; 14.6; 39.4; 85.9; 15.9; 6.2; 15.7; 5.0; 4.7; 14.7; 18.1; 8.2; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529192654
33; 10; 37; 74; 16; 7; 13; 10; 11; 38; 41; 14; 5; 2; 4; 9; 5; 9; 10; 14.6; 39.4; 84.7; 15.9; 7.3; 15.7; 5.0; 5.1; 15.1; 16.5; 8.2; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529192654
34; 10; 38; 83; 17; 7; 13; 10; 10; 35; 45; 14; 5; 2; 4; 9; 5; 9; 11; 14.6; 40.5; 95.1; 16.9; 7.3; 15.7; 5.0; 4.7; 13.9; 18.1; 8.2; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.7; 59; 1; 29; 30; 29; 20210529192655
35; 10; 37; 80; 17; 7; 13; 9; 10; 33; 45; 14; 5; 2; 4; 9; 5; 8; 11; 14.6; 40.5; 95.1; 16.9; 7.3; 15.7; 5.0; 4.7; 13.9; 18.1; 8.2; 4.6; 1.9; 3.9; 9.0; 4.7; 7.2; 7.7; 59; 1; 29; 30; 29; 20210529192655
