Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
1; 10; 38; 81; 17; 7; 14; 10; 11; 37; 47; 15; 5; 2; 4; 9; 5; 8; 10; 14.6; 40.5; 92.8; 16.9; 7.3; 16.9; 5.0; 5.1; 14.7; 18.9; 8.8; 4.6; 1.9; 3.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 29; 30; 29; 20210529190733
2; 10; 39; 86; 18; 7; 14; 10; 10; 36; 48; 15; 5; 2; 4; 9; 5; 9; 10; 14.6; 41.6; 98.5; 17.9; 7.3; 16.9; 5.0; 4.7; 14.3; 19.3; 8.8; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.0; 59; 1; 29; 30; 30; 20210529190804
3; 10; 38; 84; 18; 7; 14; 10; 10; 36; 47; 15; 5; 2; 4; 9; 5; 8; 10; 14.6; 40.5; 96.2; 17.9; 7.3; 16.9; 5.0; 4.7; 14.3; 18.9; 8.8; 4.6; 1.9; 3.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 29; 30; 29; 20210529190812
4; 10; 38; 84; 18; 7; 14; 10; 10; 36; 47; 15; 5; 2; 4; 9; 5; 8; 10; 14.6; 40.5; 96.2; 17.9; 7.3; 16.9; 5.0; 4.7; 14.3; 18.9; 8.8; 4.6; 1.9; 3.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 29; 30; 29; 20210529190813
5; 10; 38; 84; 18; 7; 14; 10; 10; 36; 47; 15; 5; 2; 4; 9; 5; 8; 10; 14.6; 40.5; 96.2; 17.9; 7.3; 16.9; 5.0; 4.7; 14.3; 18.9; 8.8; 4.6; 1.9; 3.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 29; 31; 29; 20210529190813
6; 10; 38; 84; 18; 7; 14; 10; 10; 36; 47; 15; 5; 2; 4; 9; 5; 8; 10; 14.6; 40.5; 96.2; 17.9; 7.3; 16.9; 5.0; 4.7; 14.3; 18.9; 8.8; 4.6; 1.9; 3.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 29; 30; 29; 20210529190814
7; 10; 38; 84; 18; 7; 14; 10; 10; 36; 47; 15; 5; 2; 4; 9; 5; 8; 10; 14.6; 40.5; 96.2; 17.9; 7.3; 16.9; 5.0; 4.7; 14.3; 18.9; 8.8; 4.6; 1.9; 3.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 29; 30; 29; 20210529190814
8; 10; 38; 84; 18; 7; 14; 9; 10; 36; 46; 15; 5; 2; 4; 9; 5; 8; 10; 14.6; 40.5; 96.2; 17.9; 7.3; 16.9; 5.0; 4.7; 14.3; 18.9; 8.8; 4.6; 1.9; 3.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 29; 31; 29; 20210529190815
9; 10; 37; 73; 16; 7; 14; 10; 11; 39; 47; 15; 5; 2; 4; 9; 5; 9; 10; 14.6; 40.5; 98.5; 17.9; 7.3; 16.9; 4.5; 4.7; 14.7; 18.9; 8.8; 4.6; 1.9; 3.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 29; 30; 29; 20210529190815
10; 10; 37; 75; 16; 7; 14; 10; 11; 39; 48; 15; 5; 2; 4; 9; 6; 9; 10; 14.6; 39.4; 85.9; 15.9; 7.3; 16.9; 5.0; 5.1; 15.5; 19.3; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529190816
11; 10; 37; 77; 17; 7; 14; 10; 10; 39; 46; 15; 5; 2; 4; 9; 5; 9; 10; 14.6; 39.4; 85.9; 15.9; 7.3; 16.9; 5.0; 5.1; 15.5; 19.3; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529190816
12; 10; 38; 82; 17; 7; 14; 10; 10; 36; 47; 15; 5; 2; 3; 9; 5; 8; 10; 14.6; 40.5; 95.1; 16.9; 7.3; 16.9; 4.5; 4.7; 14.3; 18.5; 8.8; 4.6; 1.9; 3.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 29; 30; 29; 20210529190817
13; 10; 38; 86; 18; 7; 14; 10; 10; 37; 49; 15; 5; 2; 4; 9; 6; 9; 10; 14.6; 41.6; 97.3; 17.9; 7.3; 16.9; 5.0; 4.7; 14.3; 19.7; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529190817
14; 10; 38; 87; 18; 7; 14; 10; 10; 37; 49; 15; 5; 2; 4; 9; 6; 9; 10; 14.6; 40.5; 98.5; 17.9; 7.3; 16.9; 5.0; 4.7; 14.7; 19.7; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529190818
15; 10; 38; 87; 18; 7; 14; 10; 10; 37; 48; 15; 5; 2; 4; 9; 5; 9; 10; 14.6; 40.5; 99.6; 17.9; 7.3; 16.9; 5.0; 4.7; 14.7; 19.3; 8.8; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.0; 59; 1; 29; 31; 29; 20210529190818
16; 10; 37; 80; 17; 7; 13; 9; 10; 36; 45; 15; 5; 2; 3; 9; 5; 9; 10; 14.6; 39.4; 95.1; 16.9; 7.3; 16.9; 5.0; 4.7; 14.3; 18.9; 8.8; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529190819
17; 10; 37; 83; 18; 7; 13; 10; 10; 35; 46; 15; 5; 2; 3; 9; 5; 9; 10; 14.6; 39.4; 95.1; 17.9; 7.3; 15.7; 5.0; 4.7; 13.9; 18.5; 8.8; 4.6; 1.9; 2.9; 8.1; 4.7; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529190819
18; 10; 39; 88; 18; 7; 14; 10; 11; 39; 48; 15; 5; 2; 4; 9; 6; 9; 10; 14.6; 39.4; 100.8; 17.9; 7.3; 16.9; 5.0; 5.1; 13.9; 19.3; 8.2; 4.6; 1.9; 3.9; 8.1; 5.6; 6.4; 7.0; 59; 1; 29; 30; 29; 20210529190820
19; 10; 39; 88; 18; 7; 14; 10; 11; 39; 47; 15; 5; 2; 4; 9; 5; 9; 10; 14.6; 41.6; 100.8; 17.9; 7.3; 16.9; 5.0; 5.1; 15.5; 19.3; 8.8; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.0; 59; 1; 29; 30; 30; 20210529190820
