Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
10; 5; 21; 48; 10; 4; 8; 6; 6; 21; 28; 8; 3; 1; 2; 5; 3; 4; 5; 7.3; 22.4; 55.0; 10.0; 4.2; 9.7; 3.0; 2.8; 8.4; 11.3; 4.7; 2.7; 1.0; 1.9; 4.5; 1.9; 3.2; 3.5; 59; 1; 27; 28; 28; 20210428211531
11; 5; 21; 50; 10; 4; 8; 6; 6; 21; 28; 9; 3; 1; 2; 4; 3; 4; 5; 7.3; 22.4; 56.1; 10.0; 4.2; 9.7; 3.0; 2.8; 8.4; 11.3; 5.3; 2.7; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 59; 1; 27; 29; 28; 20210428211532
12; 5; 21; 51; 11; 4; 8; 6; 6; 21; 28; 9; 3; 1; 2; 4; 3; 4; 6; 7.3; 22.4; 57.3; 11.0; 4.2; 9.7; 3.0; 2.8; 8.4; 11.3; 5.3; 2.7; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 59; 1; 27; 29; 28; 20210428211532
13; 5; 21; 52; 11; 4; 8; 5; 6; 21; 28; 9; 3; 1; 2; 4; 3; 4; 6; 7.3; 22.4; 59.6; 11.0; 4.2; 9.7; 3.0; 2.8; 8.4; 11.3; 5.3; 2.7; 1.0; 1.9; 3.6; 2.8; 3.2; 4.2; 59; 1; 27; 29; 28; 20210428211532
14; 5; 21; 52; 11; 4; 8; 6; 6; 21; 28; 9; 3; 1; 2; 4; 3; 4; 6; 7.3; 22.4; 59.6; 11.0; 4.2; 9.7; 2.5; 2.8; 8.4; 11.3; 5.3; 2.7; 1.0; 1.9; 3.6; 2.8; 3.2; 4.2; 59; 1; 27; 29; 29; 20210428211533
15; 5; 21; 53; 11; 4; 8; 6; 6; 21; 28; 8; 3; 1; 2; 4; 3; 4; 6; 7.3; 22.4; 60.7; 11.0; 4.2; 9.7; 3.0; 2.8; 8.4; 11.3; 4.7; 2.7; 1.0; 1.9; 3.6; 2.8; 3.2; 4.2; 59; 1; 28; 29; 28; 20210428211533
16; 5; 21; 52; 11; 4; 8; 6; 6; 21; 28; 8; 3; 1; 2; 4; 3; 4; 5; 7.3; 22.4; 60.7; 11.0; 4.2; 9.7; 3.0; 2.8; 8.4; 11.3; 4.7; 2.7; 1.0; 1.9; 3.6; 2.8; 3.2; 4.2; 59; 1; 27; 29; 28; 20210428211534
17; 5; 21; 51; 10; 4; 8; 6; 6; 22; 27; 8; 3; 1; 2; 4; 3; 4; 5; 7.3; 22.4; 58.4; 10.0; 4.2; 9.7; 3.0; 2.8; 8.7; 11.3; 4.7; 2.7; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 59; 1; 27; 28; 28; 20210428211534
18; 5; 21; 49; 10; 4; 8; 6; 6; 22; 27; 8; 3; 1; 2; 4; 3; 4; 5; 7.3; 22.4; 56.1; 10.0; 4.2; 9.7; 3.0; 2.8; 8.7; 10.9; 4.7; 2.7; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 59; 1; 27; 29; 29; 20210428211534
19; 5; 21; 47; 10; 4; 8; 6; 6; 22; 27; 8; 3; 1; 2; 5; 3; 4; 5; 7.3; 22.4; 53.8; 10.0; 4.2; 9.7; 3.0; 2.8; 8.7; 10.9; 4.7; 2.7; 1.0; 1.9; 4.5; 2.8; 3.2; 3.5; 59; 1; 27; 28; 28; 20210428211535
20; 5; 21; 46; 10; 4; 8; 6; 6; 22; 27; 8; 3; 1; 2; 5; 3; 4; 5; 7.3; 22.4; 52.7; 10.0; 4.2; 9.7; 3.0; 2.8; 8.7; 10.9; 4.7; 2.7; 1.0; 1.9; 4.5; 2.8; 3.2; 3.5; 59; 1; 27; 29; 28; 20210428211535
21; 5; 21; 46; 10; 4; 8; 6; 6; 22; 27; 8; 3; 1; 2; 5; 3; 4; 5; 7.3; 22.4; 52.7; 10.0; 4.2; 9.7; 3.0; 2.8; 8.7; 10.9; 4.7; 2.7; 1.0; 1.9; 4.5; 2.8; 3.2; 3.5; 59; 1; 27; 29; 28; 20210428211536
22; 5; 21; 47; 10; 4; 8; 6; 6; 22; 27; 8; 3; 1; 2; 4; 3; 4; 5; 7.3; 22.4; 52.7; 10.0; 4.2; 9.7; 3.0; 2.8; 8.7; 10.9; 4.7; 2.7; 1.0; 1.9; 4.5; 2.8; 3.2; 3.5; 59; 1; 27; 28; 28; 20210428211536
23; 5; 21; 47; 10; 4; 8; 6; 6; 22; 27; 8; 3; 1; 2; 4; 3; 4; 5; 7.3; 22.4; 53.8; 10.0; 4.2; 9.7; 3.0; 2.8; 8.7; 10.9; 4.7; 2.7; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 59; 1; 27; 29; 28; 20210428211536
24; 5; 21; 47; 10; 4; 8; 6; 6; 22; 27; 8; 3; 1; 2; 4; 3; 4; 5; 7.3; 22.4; 53.8; 10.0; 4.2; 9.7; 3.0; 2.8; 8.7; 10.9; 4.7; 2.7; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 59; 1; 27; 29; 28; 20210428211537
25; 5; 21; 47; 10; 4; 8; 6; 6; 22; 27; 8; 3; 1; 2; 4; 3; 4; 5; 7.3; 22.4; 53.8; 10.0; 4.2; 9.7; 3.0; 2.8; 8.7; 10.9; 4.7; 2.7; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 59; 1; 27; 29; 28; 20210428211537
26; 5; 20; 46; 10; 4; 8; 6; 6; 22; 27; 8; 3; 1; 2; 4; 3; 4; 5; 7.3; 22.4; 52.7; 10.0; 4.2; 9.7; 3.0; 2.8; 8.7; 10.9; 4.7; 2.7; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 59; 1; 28; 28; 28; 20210428211538
27; 5; 20; 47; 10; 4; 8; 6; 6; 22; 27; 8; 3; 1; 2; 4; 3; 4; 5; 7.3; 21.3; 52.7; 10.0; 4.2; 9.7; 3.0; 2.8; 8.7; 10.9; 4.7; 2.7; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 59; 1; 27; 28; 29; 20210428211538
28; 5; 20; 47; 10; 4; 8; 6; 6; 22; 27; 8; 3; 1; 2; 4; 3; 4; 5; 7.3; 21.3; 53.8; 10.0; 4.2; 9.7; 3.0; 2.8; 8.7; 10.9; 4.7; 2.7; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 59; 1; 27; 30; 29; 20210428211538
29; 5; 20; 47; 10; 4; 8; 6; 6; 22; 27; 8; 3; 1; 2; 4; 3; 4; 5; 7.3; 21.3; 53.8; 10.0; 4.2; 9.7; 3.0; 2.8; 8.7; 10.9; 4.7; 2.7; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 59; 1; 27; 29; 28; 20210428211539
30; 5; 20; 47; 10; 4; 8; 6; 6; 22; 27; 8; 3; 1; 2; 4; 3; 4; 5; 7.3; 21.3; 53.8; 10.0; 4.2; 9.7; 3.0; 2.8; 8.7; 10.9; 4.7; 2.7; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 59; 1; 27; 29; 28; 20210428211539
31; 5; 20; 46; 10; 4; 8; 6; 6; 22; 27; 8; 3; 1; 2; 4; 3; 4; 5; 7.3; 21.3; 52.7; 10.0; 4.2; 9.7; 3.0; 2.8; 8.7; 10.9; 4.7; 2.7; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 59; 1; 27; 29; 28; 20210428211540
32; 5; 20; 46; 10; 4; 8; 6; 6; 22; 27; 8; 3; 1; 2; 4; 3; 4; 5; 7.3; 21.3; 52.7; 10.0; 4.2; 9.7; 3.0; 2.8; 8.7; 10.9; 4.7; 2.7; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 59; 1; 27; 29; 28; 20210428211540
33; 5; 20; 46; 10; 4; 8; 6; 6; 22; 27; 8; 3; 1; 2; 4; 3; 4; 5; 7.3; 21.3; 52.7; 10.0; 4.2; 9.7; 3.0; 2.8; 8.7; 10.9; 4.7; 2.7; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 59; 1; 27; 29; 28; 20210428211540
34; 5; 21; 46; 10; 4; 8; 6; 6; 22; 27; 8; 3; 1; 2; 5; 3; 4; 5; 7.3; 21.3; 52.7; 10.0; 4.2; 9.7; 3.0; 2.8; 8.7; 10.9; 4.7; 2.7; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 59; 1; 27; 28; 28; 20210428211541
35; 5; 21; 46; 10; 4; 8; 6; 6; 22; 27; 8; 3; 1; 2; 5; 3; 4; 5; 7.3; 22.4; 52.7; 10.0; 4.2; 9.7; 3.0; 2.8; 8.7; 10.9; 4.7; 2.7; 1.0; 1.9; 4.5; 2.8; 3.2; 3.5; 59; 1; 27; 28; 28; 20210428211541
