Reference, Value, Footprint, Datasheet, Desc, PN_DIGIKEY, PRICE_DIGIKEY, Comment
"C13","0805B104J500CT","Capacitor_SMD:C_0805_2012Metric","http://www.passivecomponent.com/wp-content/uploads/2018/10/MLCC.pdf","CAP CER 0.1UF 5% 25V X7R 0805","1292-1564-1-ND","0.18","100nF"
"C11","0805B104J500CT","Capacitor_SMD:C_0805_2012Metric","http://www.passivecomponent.com/wp-content/uploads/2018/10/MLCC.pdf","CAP CER 0.1UF 5% 25V X7R 0805","1292-1564-1-ND","0.18","100nF"
"C14","C0805C105K4RACTU","Capacitor_SMD:C_0805_2012Metric","https://api.kemet.com/component-edge/download/datasheet/C0805C105K4RACTU.pdf","CAP CER 1UF 10% 10V X7R 0805","399-1284-2-ND","0.14","1uF"
"C15","0805B104J500CT","Capacitor_SMD:C_0805_2012Metric","http://www.passivecomponent.com/wp-content/uploads/2018/10/MLCC.pdf","CAP CER 0.1UF 5% 25V X7R 0805","1292-1564-1-ND","0.18","100nF"
"D3","L1SP-PNK1002800000","Resistor_SMD:R_1206_3216Metric","https://www.lumileds.com/wp-content/uploads/files/DS237-luxeon-sunplus-2835-line-datasheet.pdf","LUXEON SUNPLUS 2835 WHITE","1416-2062-2-ND","0.63",""
"R13","CRCW080533R0JNEA","Resistor_SMD:R_0805_2012Metric","https://www.vishay.com/docs/20035/dcrcwe3.pdf","RES SMD 33 OHM 5% 1/8W 0805","541-33ATR-ND","0.10","33"
"D4","LG R971-KN-1","LED_SMD:LED_0805_2012Metric","https://dammedia.osram.info/media/resource/hires/osram-dam-14795755/LG%20R971_EN.pdf","LED GRN DIF 2.2V 20MA 0805","475-1410-2-ND","0.26",""
"D5","L1SP-FRD0002800000","Resistor_SMD:R_1206_3216Metric","https://www.lumileds.com/wp-content/uploads/files/DS237-luxeon-sunplus-2835-line-datasheet.pdf","LUXEON SUNPLUS 2835 FAR RED","1416-2055-2-ND","0.69",""
"R14","CRCW0805100RJNEAC","Resistor_SMD:R_0805_2012Metric","http://www.vishay.com/docs/28773/crcwce3.pdf","RES 100 OHM 5% 1/8W 0805","541-4166-1-ND","0.10","100"
"D6","LG R971-KN-1","LED_SMD:LED_0805_2012Metric","https://dammedia.osram.info/media/resource/hires/osram-dam-14795755/LG%20R971_EN.pdf","LED GRN DIF 2.2V 20MA 0805","475-1410-2-ND","0.26",""
"D7","SIR67-21C/TR8","Resistor_SMD:R_1206_3216Metric","https://www.everlight.com/file/ProductFile/201407052129409395.pdf","EMITTER IR 875NM 65MA SMD","1080-1427-2-ND","0.64",""
"R15","CRCW0805100RJNEAC","Resistor_SMD:R_0805_2012Metric","http://www.vishay.com/docs/28773/crcwce3.pdf","RES 100 OHM 5% 1/8W 0805","541-4166-1-ND","0.10","100"
"D8","LG R971-KN-1","LED_SMD:LED_0805_2012Metric","https://dammedia.osram.info/media/resource/hires/osram-dam-14795755/LG%20R971_EN.pdf","LED GRN DIF 2.2V 20MA 0805","475-1410-2-ND","0.26",""
"R10","CRCW080510K0JNEA","Resistor_SMD:R_0805_2012Metric","https://www.vishay.com/docs/20035/dcrcwe3.pdf","RES SMD 10K OHM 5% 1/8W 0805","541-10KATR-ND","0.10","10k"
"R11","CRCW080510K0JNEA","Resistor_SMD:R_0805_2012Metric","https://www.vishay.com/docs/20035/dcrcwe3.pdf","RES SMD 10K OHM 5% 1/8W 0805","541-10KATR-ND","0.10","10k"
"R12","CRCW080510K0JNEA","Resistor_SMD:R_0805_2012Metric","https://www.vishay.com/docs/20035/dcrcwe3.pdf","RES SMD 10K OHM 5% 1/8W 0805","541-10KATR-ND","0.10","10k"
"R8","CRCW080510K0JNEA","Resistor_SMD:R_0805_2012Metric","https://www.vishay.com/docs/20035/dcrcwe3.pdf","RES SMD 10K OHM 5% 1/8W 0805","541-10KATR-ND","0.10","10k"
"R9","CRCW08050000Z0EA","Resistor_SMD:R_0805_2012Metric","https://www.vishay.com/docs/20035/dcrcwe3.pdf","RES SMD 0 OHM JUMPER 1/8W 0805","541-0.0ATR-ND","0.10","0R"
